,star,observatory,jd,mjd,hjd,bjd
0,RW Ari,mso,2456313.55198,56313.05197999999,56313.55263660011,56313.55340015803
1,X Ari,mso,2456600.614467,56600.11446700012,56600.62012287257,56600.62089281287
2,UY Cam,ulmo,2456575.775563,56575.27556299977,56575.77578746813,56575.77655562603
3,RR Cet,mso,2456576.712696,56576.212696,56576.71839625589,56576.71917129943
4,SV Eri,mtkent,2456580.032443,56579.532443000004,56580.0371955466,56580.03796699583
5,VX Her,ulmo,2456575.55286,56575.05286000017,56575.549739955844,56575.55052578747
6,RR Leo,ulmo,2456604.946028,56604.44602800021,56604.94511311123,56604.945879858016
7,TT Lyn,mso,2456606.805239,56606.30523899989,56606.80639789758,56606.80716316456
8,TV Lyn,mso,2456311.668063,56311.168062999845,56311.67307256375,56311.67383954437
9,TW Lyn,mso,2456606.914045,56606.41404499998,56606.91651453337,56606.91727867215
10,RR Lyr,mso,2456465.662852,56465.16285199998,56465.66496670056,56465.66574886372
11,V535 Mon,ulmo,2456610.844004,56610.34400400007,56610.84690381729,56610.84766824251
12,V445 Oph,mso,2456485.750582,56485.250581999775,56485.75463494994,56485.75542543875
13,AV Peg,ulmo,2456593.585144,56593.08514400013,56593.58787714924,56593.58866123383
14,BH Peg,ulmo,2456563.627096,56563.12709600013,56563.6323357942,56563.63311741764
15,AR Per,ulmo,2456574.747057,56574.247057000175,56574.75003333587,56574.75079952815
16,RU Psc,mso,2456602.762516,56602.26251599984,56602.76778968187,56602.768564395956
17,T Sex,mso,2456275.820087,56275.320086999796,56275.822250799334,56275.82302831996
18,TU UMa,mso,2456679.770138,56679.27013800014,56679.774183173344,56679.774951115134
