,filenames,mjd,hjd,bjd,elapsed_bjd_since_spec_01
0,RW_Ari_02.fits,56288.12992881944,56288.63293572489,56288.63369868468,0.039824259431043174
1,RW_Ari_01.fits,56288.09010115741,56288.5931114664,56288.59387442525,0.0
2,RW_Ari_03.fits,56288.169575,56288.672578503414,56288.67334146414,0.07946703889319906
3,RW_Ari_04.fits,56289.08436886574,56289.58729371204,56289.588056694265,0.9941822690161644
4,RW_Ari_05.fits,56289.13555173611,56289.63847216044,56289.639235143884,1.045360718635493
0,X_Ari__01.fits,56283.141154861114,56283.64528775115,56283.646049829214,0.0
1,X_Ari__02.fits,56283.14908449074,56283.65321683903,56283.653978917246,0.007929088031232823
2,X_Ari__03.fits,56283.20929803241,56283.71342624749,56283.7141883268,0.06813849758327706
3,X_Ari__04.fits,56283.26394502315,56283.768069458245,56283.76883153855,0.12278170933859656
4,X_Ari__05.fits,56283.2757712963,56283.77989491005,56283.780656990566,0.134607161351596
5,X_Ari__06.fits,56285.21418645833,56285.71817463406,56285.71893674979,2.07288692057773
6,X_Ari__07.fits,56286.193583912034,56286.69750187518,56286.69826400878,3.052214179566363
7,X_Ari__08.fits,56288.19318206018,56288.69695307612,56288.697715246344,5.051665417129698
8,X_Ari__09.fits,56289.172534143516,56289.676231481644,56289.67699366987,6.0309438406548
9,X_Ari__10.fits,56289.22747604167,56289.73116919162,56289.73193138086,6.085881551647617
0,UY_Cam_03.fits,56282.4876994213,56282.99119512843,56282.991964999426,0.05671286272990983
1,UY_Cam_01.fits,56282.43098738426,56282.93448226511,56282.9352521367,0.0
2,UY_Cam_02.fits,56282.46221168982,56282.96570702687,56282.96647689813,0.03122476143471431
0,RR_Cet_01.fits,56283.086202893515,56283.58825370866,56283.58901898898,0.0
1,RR_Cet_02.fits,56283.09781770833,56283.59986744026,56283.60063272093,0.011613731949182693
2,RR_Cet_04.fits,56283.11754247685,56283.61959036642,56283.62035564769,0.03133665870700497
3,RR_Cet_05.fits,56283.17255775463,56283.674600487386,56283.67536577031,0.08634678132511908
4,RR_Cet_06.fits,56283.22684236111,56283.728879981456,56283.72964526601,0.14062627702514874
5,RR_Cet_07.fits,56285.15593483796,56285.65779116797,56285.65855651046,2.069537521478196
6,RR_Cet_08.fits,56285.19658449074,56285.69843694957,56285.69920229328,2.110183304299426
7,RR_Cet_09.fits,56288.062854282405,56288.56443343124,56288.56519886123,4.9761798722465755
