,filenames,mjd,hjd,bjd,elapsed_bjd_since_spec_01
8,RR_Cet_03.fits,56283.10823622685,56283.61028498609,56283.61105026708,0.022031278094800655
0,SV_Eri_01.fits,56285.23480902778,56285.73798442508,56285.73874874822,0.0
1,SV_Eri_02.fits,56286.16056736111,56286.663678358054,56286.66444269897,0.9256939507540665
2,SV_Eri_03.fits,56288.11487708333,56288.61784939684,56288.618613775405,2.8798650271855877
3,SV_Eri_04.fits,56288.22237939815,56288.725343968996,56288.72610834964,2.987359601422213
4,SV_Eri_05.fits,56289.10865682871,56289.61155726723,56289.612321664994,3.8735729167747195
5,SV_Eri_06.fits,56289.159475810186,56289.662372557235,56289.66313695599,3.924388207771699
0,VX_Her_09.fits,56497.251142824076,56497.75345145854,56497.754238677066,2.064369363433798
1,VX_Her_19.fits,56499.21524247685,56499.71742247788,56499.71820966348,4.028340349846985
2,VX_Her_01.fits,56495.18664085648,56495.689082060635,56495.68986931363,0.0
3,VX_Her_02.fits,56497.15890740741,56497.661222069946,56497.662009290005,1.9721399763730005
4,VX_Her_03.fits,56497.17494236111,56497.67725598062,56497.67804320041,1.9881738867770764
5,VX_Her_04.fits,56497.18633379629,56497.688646673494,56497.689433893094,1.999564579462458
6,VX_Her_05.fits,56497.19942337963,56497.701735402545,56497.702522621934,2.012653308302106
7,VX_Her_06.fits,56497.213311458334,56497.71562257335,56497.7164097925,2.0265404788660817
8,VX_Her_07.fits,56497.22679328704,56497.72910351927,56497.7298907382,2.040021424567385
9,VX_Her_08.fits,56497.237944560184,56497.74025406122,56497.74104127996,2.051171966326365
10,VX_Her_10.fits,56497.26226898148,56497.76457688452,56497.76536410286,2.0754947892273776
11,VX_Her_11.fits,56497.27809756945,56497.78040443059,56497.78119164867,2.0913223350362387
12,VX_Her_12.fits,56499.12630416667,56499.62849007221,56499.62927725929,3.9394079456615145
13,VX_Her_13.fits,56499.13886446759,56499.64104954331,56499.64183673018,3.9519674165494507
14,VX_Her_14.fits,56499.1513587963,56499.65354304521,56499.654330231875,3.964460918243276
15,VX_Her_15.fits,56499.16454224537,56499.66672562043,56499.667512806875,3.9776434932427946
16,VX_Her_16.fits,56499.17705486111,56499.67923740542,56499.68002459165,3.9901552780211205
17,VX_Her_17.fits,56499.18977106481,56499.691952763525,56499.69273994955,4.002870635915315
18,VX_Her_18.fits,56499.20233576389,56499.704516625796,56499.705303811614,4.015434497981914
19,VX_Her_20.fits,56499.22775625,56499.72993541516,56499.73072260056,4.040853286925994
20,VX_Her_21.fits,56499.24107766204,56499.74325593615,56499.74404312131,4.054173807679035
21,VX_Her_22.fits,56499.2536443287,56499.75582176113,56499.75660894609,4.066739632457029
22,VX_Her_23.fits,56499.26759560185,56499.76977209867,56499.7705592834,4.080689969770901
23,VX_Her_24.fits,56499.28017025463,56499.78234590718,56499.783133091696,4.0932637780642835
24,VX_Her_25.fits,56499.29317199074,56499.79534676945,56499.79613395376,4.106264640126028
25,VX_Her_26.fits,56499.305889930554,56499.8080638537,56499.80885103779,4.118981724161131
0,RR_Leo_01.fits,56284.41608923611,56284.919391521966,56284.920167439486,0.0
1,RR_Leo_02.fits,56284.42375277778,56284.92705567403,56284.9278315913,0.007664151817152742
2,RR_Leo_03.fits,56284.5014037037,56285.004712756076,56285.0054886708,0.08532123131590197
3,RR_Leo_04.fits,56284.50903275463,56285.012342409034,56285.013118323506,0.09295088401995599
4,RR_Leo_05.fits,56284.518178819446,56285.021489194965,56285.02226510914,0.10209766965272138
5,RR_Leo_06.fits,56284.52583831018,56285.02914928908,56285.029925203,0.10975776351551758
6,RR_Leo_07.fits,56284.53539837963,56285.03871011098,56285.03948602458,0.11931858509342419
7,RR_Leo_08.fits,56287.328818055554,56287.83234706518,56287.833122886994,2.9129554475075565
0,TT_Lyn_01.fits,56284.32506030093,56284.829320198674,56284.830091254145,0.0
1,TT_Lyn_02.fits,56284.33444027778,56284.83870063976,56284.839471695006,0.009380440860695671
2,TT_Lyn_03.fits,56284.389714467594,56284.893977552914,56284.89474860684,0.06465735269739525
3,TT_Lyn_04.fits,56284.43676226852,56284.94102765452,56284.94179870732,0.11170745317213004
4,TT_Lyn_05.fits,56284.444396990744,56284.94866274857,56284.94943380119,0.11934254704101477
5,TT_Lyn_06.fits,56285.44586342593,56285.95017746481,56285.950948493366,1.1208572392206406
6,TT_Lyn_07.fits,56285.48727638889,56285.99159238121,56285.99236340877,1.1622721546227694
7,TT_Lyn_08.fits,56288.318075,56288.822519998015,56288.82329095775,3.99319970360375
8,TT_Lyn_09.fits,56288.391396527775,56288.895844741026,56288.89661569902,4.06652444487554
9,TT_Lyn_10.fits,56289.385243055556,56289.889733857024,56289.890504791285,5.060413537139539
0,TV_Lyn_05.fits,56285.397340393516,56285.90229586441,56285.90306325152,0.09225484252237948
1,TV_Lyn_01.fits,56285.30508761574,56285.81004102039,56285.810808409,0.0
2,TV_Lyn_02.fits,56285.32267303241,56285.82762683562,56285.82839422394,0.017585814945050515
3,TV_Lyn_03.fits,56285.346169791665,56285.851124123976,56285.85189151192,0.04108310292212991
4,TV_Lyn_04.fits,56285.37213587963,56285.87709079203,56285.87785817955,0.06704977055051131
5,TV_Lyn_06.fits,56285.42036099537,56285.92531697254,56285.92608435927,0.11527595027291682
6,TV_Lyn_07.fits,56289.26459953704,56289.76962991952,56289.77039724367,3.959588834673923
7,TV_Lyn_08.fits,56289.31594270833,56289.820973942034,56289.82174126536,4.01093285636307
8,TV_Lyn_09.fits,56289.338278703704,56289.84331030188,56289.844077624846,4.033269215848122
9,TV_Lyn_10.fits,56289.36128402778,56289.86631599759,56289.86708332019,4.056274911192304
0,TW_Lyn_06.fits,56288.33258738426,56288.83770262174,56288.83847023561,5.037478977406863
1,TW_Lyn_01.fits,56283.295246064816,56283.80022355165,56283.800991258206,0.0
2,TW_Lyn_02.fits,56283.3340349537,56283.839013662815,56283.83978136866,0.03879011045501102
3,TW_Lyn_03.fits,56288.24673425926,56288.751847454994,56288.75261507042,4.951623812215985
4,TW_Lyn_04.fits,56288.2695837963,56288.77469754064,56288.77546515565,4.974473897447751
5,TW_Lyn_05.fits,56288.29405034722,56288.799164674914,56288.79993228948,4.998941031277354
6,TW_Lyn_07.fits,56288.40641018518,56288.91152713368,56288.91229474621,5.111303488003614
0,RR_Lyr_01.fits,56498.335909837966,56498.83851811941,56498.839300527834,0.0
1,RR_Lyr_02.fits,56498.36050555555,56498.863113901556,56498.86389631016,0.024595782328105997
2,RR_Lyr_03.fits,56499.37691921296,56499.87953037,56499.88031278577,1.0410122579341987
3,RR_Lyr_04.fits,56499.37963368055,56499.88224484224,56499.88302725803,1.043726730196795
0,V_535__04.fits,56288.36614293981,56288.87130613454,56288.87207363055,2.130255796939309
1,V_535__01.fits,56286.23593611111,56286.74105030101,56286.74181783361,0.0
2,V_535__02.fits,56286.258809259256,56286.763924028055,56286.76469156026,0.02287372665159637
3,V_535__03.fits,56286.28242106482,56286.78753642614,56286.78830395795,0.0464861243381165
4,V_535__05.fits,56288.43182210648,56288.93698665544,56288.937754150335,2.195936316726147
5,V_535__06.fits,56289.29118148148,56289.79636369448,56289.797131174644,3.0553133410357987
0,V445_O_01.fits,56498.14720138889,56498.650312272366,56498.65110252237,0.0
1,V445_O_02.fits,56498.16488402778,56498.667993505886,56498.66878375556,0.01768123318470316
0,AV_Peg_01.fits,56497.36532719908,56497.86920587482,56497.86998752337,0.0
1,AV_Peg_02.fits,56497.417690625,56497.92157189911,56497.92235354904,0.05236602566583315
2,AV_Peg_03.fits,56497.44975752315,56497.95364037706,56497.95442202783,0.08443450446065981
3,AV_Peg_04.fits,56498.31900914352,56498.8229348916,56498.82371656512,0.9537290417501936
4,AV_Peg_06.fits,56498.369170833335,56498.873099035554,56498.8738807104,1.0038931870294618
5,AV_Peg_07.fits,56498.428483564814,56498.93241464043,56498.93319631684,1.0632087934645824
6,AV_Peg_08.fits,56499.33562395833,56499.839598794206,56499.84038049434,1.9703929709648946
7,AV_Peg_09.fits,56499.360165046295,56499.86414105433,56499.86492275511,1.9949352317344164
8,AV_Peg_05.fits,56498.344489930554,56498.84841692805,56498.84919860224,0.9792110788694117
0,BH_Peg_01.fits,56497.40027488426,56497.903828581526,56497.90460812558,0.0
1,BH_Peg_02.fits,56497.434146875,56497.937702907,56497.93848245214,0.033874326560180634
2,BH_Peg_03.fits,56497.4667537037,56497.97031197358,56497.971091519765,0.06648339418461546
0,AR_Per_01.fits,56282.17664675926,56282.68150404109,56282.68226722457,0.0
1,AR_Per_02.fits,56282.18549849537,56282.690355519975,56282.691118703486,0.008851478916767519
2,AR_Per_03.fits,56282.255720023146,56282.76057498735,56282.7613381711,0.07907094652910018
3,AR_Per_04.fits,56282.297806712966,56282.80266042562,56282.80342360952,0.12115638495015446
4,AR_Per_05.fits,56282.31408287037,56282.81893609587,56282.81969927983,0.1374320552640711
5,AR_Per_06.fits,56282.327127662036,56282.83198049592,56282.83274367992,0.1504764553537825
6,AR_Per_07.fits,56282.34313946759,56282.84799181941,56282.84875500348,0.16648777890804922
7,AR_Per_08.fits,56283.1921306713,56283.696957469416,56283.69772065634,1.0154534317698563
8,AR_Per_09.fits,56283.24799444444,56283.75281951899,56283.753582706115,1.0713154815457528
9,AR_Per_11.fits,56285.141431828706,56285.64619578239,56285.64695897608,2.9646917515128735
10,AR_Per_12.fits,56285.25462569445,56285.75938583392,56285.76014902802,3.0778818034523283
11,AR_Per_13.fits,56285.26785949074,56285.77261917837,56285.77338237253,3.091115147959499
12,AR_Per_14.fits,56285.28370335648,56285.788462501594,56285.78922569581,3.106958471238613
13,AR_Per_15.fits,56286.17805173611,56286.68277999962,56286.683543196996,4.001275972426811
14,AR_Per_16.fits,56289.24424421296,56289.748857718354,56289.74962092695,7.067353702383116
15,AR_Per_10.fits,56283.319384953706,56283.82420779407,56283.82497098145,1.1427037568792002
0,RU_Psc_03.fits,56288.07671597222,56288.578680041675,56288.579444921925,2.9026990149504854
1,RU_Psc_01.fits,56285.17375555556,56285.67598110591,56285.676745906974,0.0
2,RU_Psc_02.fits,56286.14272476852,56286.64486365437,56286.645628481834,0.9688825748598902
3,RU_Psc_04.fits,56288.15540335648,56288.65736023889,56288.65812512129,2.9813792143177125
4,RU_Psc_05.fits,56288.207745949076,56288.70969802534,56288.71046290918,3.0337170022030477
5,RU_Psc_06.fits,56289.1223,56289.62416858313,56289.62493349197,3.948187584996049
6,RU_Psc_07.fits,56289.18691388889,56289.688776511946,56289.689541422566,4.012795515591279
7,RU_Psc_08.fits,56289.19804953704,56289.69991113006,56289.70067604098,4.023930134004331
8,RU_Psc_09.fits,56289.21198263889,56289.71384294208,56289.714607853384,4.037861946409976
9,RU_Psc_13.fits,56498.44444074074,56498.94502532553,56498.94579655778,213.2690506508079
10,RU_Psc_10.fits,56498.38577789352,56498.88635694279,56498.88712817313,213.2103822661593
11,RU_Psc_11.fits,56498.39883518519,56498.899415468535,56498.900186699306,213.22344079233153
12,RU_Psc_12.fits,56498.41141759259,56498.91199906412,56498.9127702953,213.23602438832313
13,RU_Psc_14.fits,56498.45709606481,56498.957681840584,56498.958453073246,213.2817071662721
14,RU_Psc_15.fits,56499.386194907405,56499.88686767542,56499.88763893823,214.21089303125336
15,RU_Psc_16.fits,56499.39961400463,56499.90028803838,56499.90105930162,214.22431339464674
16,RU_Psc_17.fits,56499.41215914352,56499.91283435951,56499.91360562316,214.23685971618397
17,RU_Psc_18.fits,56499.42473935185,56499.92541575232,56499.926187016375,214.24944110940123
18,RU_Psc_19.fits,56499.43802488426,56499.93870253438,56499.93947379888,214.2627278919026
19,RU_Psc_20.fits,56499.450588657404,56499.95126748811,56499.952038753014,214.27529284603952
20,RU_Psc_21.fits,56499.46314097222,56499.96382098125,56499.96459224656,214.28784633958276
21,RU_Psc_22.fits,56499.47613703704,56499.97681826477,56499.9775895305,214.300843623525
0,T_Sex__01.fits,56284.35022847222,56284.853186897206,56284.85396411254,0.0
1,T_Sex__02.fits,56284.35948854167,56284.862447752734,56284.86322496776,0.009260855222237296
2,T_Sex__03.fits,56284.40386041666,56284.9068233844,56284.90760059794,0.05363648539787391
3,T_Sex__04.fits,56284.48957592592,56284.99254609993,56284.993323310584,0.13935919804498553
4,T_Sex__05.fits,56285.469564583334,56285.972616678635,56285.97339385628,1.1194297437396017
5,T_Sex__06.fits,56285.52063263889,56286.02368895588,56286.0244661318,1.1705020192603115
0,TU_UMa_02.fits,56284.458681944445,56284.96056313884,56284.961342968745,1.9302785946492804
1,TU_UMa_01.fits,56282.5285693287,56283.030284480774,56283.031064374096,0.0
2,TU_UMa_03.fits,56284.466341203704,56284.9682230555,56284.96900288515,1.9379385110514704
3,TU_UMa_04.fits,56284.47404641204,56284.97592892472,56284.97670875412,1.9456443800227134
4,TU_UMa_05.fits,56285.45568842593,56285.95765454698,56285.95843434415,2.9273699700570432
5,TU_UMa_06.fits,56285.504349421295,56286.00631968212,56286.00709947769,2.976035103594768
6,TU_UMa_07.fits,56285.53494305556,56286.03691590958,56286.037695704144,3.006631330048549
