,realization_spec_file_name,original_spec_file_name,FeH,err_FeH,logg,alpha,Teff,EW_Hbeta,err_EW_Hbeta_from_robo,EW_Hdelta,err_EW_Hdelta_from_robo,EW_Hgamma,err_EW_Hgamma_from_robo,EW_Heps,err_EW_Heps_from_robo,EW_CaIIK,err_EW_CaIIK_from_robo
25,spec-0292-51609-0220g001.dat_000,spec-0292-51609-0220g001.dat,,,,,,6.845716,2.114749,8.513246,2.3709860000000003,7.621522,1.595077,9.006843,2.4402220000000003,2.66743,1.622751
26,spec-0292-51609-0220g002.dat_000,spec-0292-51609-0220g002.dat,,,,,,7.783631,2.371011,10.740257000000001,2.562484,9.110634,2.278059,11.357484,3.01403,3.040464,1.739623
27,spec-0292-51609-0470g001.dat_000,spec-0292-51609-0470g001.dat,,,,,,4.132582,1.620068,3.207467,1.523844,3.7334410000000013,1.392506,6.097171,1.8698849999999998,4.764876,1.3108899999999999
28,spec-0293-51689-0138g001.dat_000,spec-0293-51689-0138g001.dat,,,,,,4.350761,1.824057,4.578544,1.8347330000000002,4.957602,1.645461,6.357157,2.299002,2.540132,1.103417
29,spec-0293-51689-0138g002.dat_000,spec-0293-51689-0138g002.dat,,,,,,5.619121,2.5908729999999998,4.991179,1.412929,5.394943,2.205953,7.278803,2.188965,3.299793,1.3762290000000001
30,spec-0293-51689-0320g001.dat_000,spec-0293-51689-0320g001.dat,,,,,,8.179229,2.217403,10.716038000000001,2.051351,10.261251,2.2427349999999997,8.837582000000003,1.8107389999999999,2.1158349999999997,0.454071
31,spec-0293-51689-0320g002.dat_000,spec-0293-51689-0320g002.dat,,,,,,7.803961,2.112397,9.771855,2.226607,9.486352,2.237566,8.657688,1.9179689999999998,2.2945029999999997,0.997634
32,spec-0293-51689-0553g001.dat_000,spec-0293-51689-0553g001.dat,,,,,,10.551848,2.284436,12.510795,2.807989,11.123717,2.303841,11.426482,2.0829560000000003,1.209851,0.253103
33,spec-0293-51689-0553g002.dat_000,spec-0293-51689-0553g002.dat,,,,,,11.699561,2.857863,12.742725,2.586625,11.516042,2.213993,11.805572,2.2496080000000003,1.124689,0.288433
34,spec-0295-51985-0039g001.dat_000,spec-0295-51985-0039g001.dat,,,,,,7.075655,1.664697,8.310582,2.3432209999999998,7.5947210000000025,2.229847,10.021951,2.442844,3.4563910000000004,1.234584
35,spec-0295-51985-0039g002.dat_000,spec-0295-51985-0039g002.dat,,,,,,6.46208,1.413197,6.671646000000001,2.058414,7.775945,2.977186,8.73789,2.946139,3.8398779999999997,1.428884
36,spec-0296-51984-0502g001.dat_000,spec-0296-51984-0502g001.dat,,,,,,4.59966,2.4965200000000003,4.245426999999999,9.075764,5.920052,1.9254490000000002,8.064401,3.4495839999999998,0.403954,1.045726
37,spec-0296-51984-0502g002.dat_000,spec-0296-51984-0502g002.dat,,,,,,5.881753,2.705234,4.888914,2.61185,5.368835,2.121849,7.918747,2.340718,16.17053,16.978548999999994
38,spec-0296-51984-0502g003.dat_000,spec-0296-51984-0502g003.dat,,,,,,5.3781669999999995,1.929402,9.144362,6.052798999999999,6.430771,2.775207,8.123397,3.439117,5.529109,2.618852
39,spec-0297-51959-0181g002.dat_000,spec-0297-51959-0181g002.dat,,,,,,10.879118,2.750538,10.519269,2.5351220000000003,9.935865,1.897514,10.70562,1.78466,0.163847,2143.139092000001
40,spec-0299-51671-0624g001.dat_000,spec-0299-51671-0624g001.dat,,,,,,3.567657,1.7077529999999999,4.456156,2.139744,5.089525,2.118817,6.243136,2.433135,5.43865,1.8424599999999998
41,spec-0299-51671-0624g002.dat_000,spec-0299-51671-0624g002.dat,,,,,,4.18945,1.567153,4.397085,1.9177330000000001,0.0062369999999999995,69023110.665419,6.929659,2.455236,5.448804,1.937546
42,spec-0299-51671-0624g003.dat_000,spec-0299-51671-0624g003.dat,,,,,,7.174177,2.833832,5.4591080000000005,2.1934299999999998,3.9675,1.862259,8.106347999999999,2.724091,6.606281,3.029799
43,spec-0300-51943-0243g001.dat_000,spec-0300-51943-0243g001.dat,,,,,,14.026705999999999,6.3418470000000005,7.9220000000000015,3.817771,6.983538,3.180073,4.82815,2.409252,3.928667,1.751775
44,spec-0300-51943-0243g002.dat_000,spec-0300-51943-0243g002.dat,,,,,,7.479096000000001,3.034359,11.734072,3.7788980000000003,5.882396,3.0722560000000003,6.857944,3.2261029999999997,4.414708,2.524132
45,spec-0300-51943-0243g003.dat_000,spec-0300-51943-0243g003.dat,,,,,,5.276001,2.288113,5.2524,2.284668,5.434955,1.7274990000000001,4.879084,2.884871,4.153014,1.3803299999999998
46,spec-0300-51943-0341g001.dat_000,spec-0300-51943-0341g001.dat,,,,,,7.490071,2.61386,8.547928,2.598292,8.794367,1.978766,9.481295,2.448191,0.9778879999999999,0.44796800000000003
47,spec-0300-51943-0341g002.dat_000,spec-0300-51943-0341g002.dat,,,,,,7.445542999999999,1.81128,7.8833699999999975,2.5988689999999997,7.024378,1.941731,8.992125999999997,2.216123,1.113702,0.347238
48,spec-0300-51943-0341g003.dat_000,spec-0300-51943-0341g003.dat,,,,,,7.052953,2.193205,7.5047190000000015,2.506316,7.150726,2.082103,8.232236,1.981898,1.034537,0.351491
49,spec-0300-51943-0341g004.dat_000,spec-0300-51943-0341g004.dat,,,,,,6.269554,2.186051,7.081467999999999,2.475402,6.3967279999999995,2.027549,7.119526,2.776928,1.1204290000000001,0.199419
50,spec-0300-51943-0341g005.dat_000,spec-0300-51943-0341g005.dat,,,,,,5.362407,2.11404,6.2579660000000015,2.718696,5.86405,1.853743,7.268367,2.3099220000000003,1.076176,0.47922200000000004
51,spec-0301-51942-0335g001.dat_000,spec-0301-51942-0335g001.dat,,,,,,9.294255999999999,2.589249,9.723046,2.05163,10.484935,2.3961,16.488833,5.459036,2.789698,1.589361
52,spec-0301-51942-0335g002.dat_000,spec-0301-51942-0335g002.dat,,,,,,10.501886,2.722249,11.637348,2.31123,10.741414,2.0020130000000003,10.477085,1.8108360000000001,1.0302200000000001,0.49528500000000003
