name,feh
SW And,-0.24
RS Boo,-0.33
AR Per,-0.29
SW Dra,-1.28
RR Cet,-1.49
TU UMa,-1.57
TT Lyn,-1.53
SU Dra,-1.80
VY Ser,-1.90
