,wavel,flux_flag_1
0,3900.0,False
1,3901.4,False
2,3902.8,False
3,3912.6,False
4,3914.0,False
5,3915.4,False
6,3916.8,False
7,3918.2,False
8,3919.6,False
9,3921.0,False
10,3922.4,False
11,3923.8,False
12,3925.2,False
13,3926.6,False
14,3928.0,False
15,3929.4,False
16,3930.8,False
17,3932.2,False
18,3933.6,False
19,3935.0,False
20,3936.4,False
21,3937.8,False
22,3939.2,False
23,3940.6,False
24,3942.0,False
25,3943.4,False
26,3944.8,False
27,3946.2,False
28,3947.6,False
29,3949.0,False
30,3950.4,False
31,3951.8,False
32,3953.2,False
33,3954.6,False
34,3956.0,False
35,3957.4,False
36,3958.8,False
37,3960.2,False
38,3961.6,False
39,3963.0,False
40,3964.4,False
41,3965.8,False
42,3967.2,False
43,3968.6,False
44,3970.0,False
45,3971.4,False
46,3972.8,False
47,3974.2,False
48,3975.6,False
49,3977.0,False
50,3978.4,False
51,3979.8,False
52,3981.2,False
53,3982.6,False
54,3984.0,False
55,3985.4,False
56,3986.8,False
57,3988.2,False
58,3989.6,False
59,3991.0,False
60,3992.4,False
61,3993.8,False
62,3995.2,False
63,3996.6,False
64,3998.0,False
65,3999.4,False
66,4000.8,False
67,4002.2,False
68,4003.6,False
69,4005.0,False
70,4006.4,False
71,4007.8,False
72,4009.2,False
73,4010.6,False
74,4012.0,False
75,4013.4,False
76,4014.8,False
77,4016.2,False
78,4017.6,False
79,4019.0,False
80,4020.4,False
81,4021.8,False
82,4023.2,False
83,4024.6,False
84,4026.0,False
85,4027.4,False
86,4028.8,False
87,4030.2,False
88,4031.6,False
89,4033.0,False
90,4034.4,False
91,4035.8,False
92,4037.2,False
93,4038.6,False
94,4040.0,False
95,4041.4,False
96,4042.8,False
97,4044.2,False
98,4045.6,False
99,4047.0,False
100,4048.4,False
101,4049.8,False
102,4051.2,False
103,4052.6,False
104,4054.0,False
105,4055.4,False
106,4056.8,False
107,4058.2,False
108,4059.6,False
109,4061.0,False
110,4062.4,False
111,4063.8,False
112,4065.2,False
113,4066.6,False
114,4068.0,False
115,4069.4,False
116,4070.8,False
117,4072.2,False
118,4073.6,False
119,4075.0,False
120,4076.4,False
121,4077.8,False
122,4079.2,False
123,4080.6,False
124,4082.0,False
125,4083.4,False
126,4084.8,False
127,4086.2,False
128,4087.6,False
129,4089.0,False
130,4090.4,False
131,4091.8,False
132,4093.2,False
133,4094.6,False
134,4096.0,False
135,4097.4,False
136,4098.8,False
137,4100.2,False
138,4101.6,False
139,4103.0,False
140,4104.4,False
141,4105.8,False
142,4107.2,False
143,4108.6,False
144,4110.0,False
145,4111.4,False
146,4112.8,False
147,4114.2,False
148,4115.6,False
149,4117.0,False
150,4118.4,False
151,4119.8,False
152,4121.2,False
153,4122.6,False
154,4124.0,False
155,4125.4,False
156,4126.8,False
157,4128.2,False
158,4129.6,False
159,4131.0,False
160,4132.4,False
161,4133.8,False
162,4135.2,False
163,4136.6,False
164,4138.0,False
165,4139.4,False
166,4140.8,False
167,4142.2,False
168,4143.6,False
169,4145.0,False
170,4146.4,False
171,4147.8,False
172,4149.2,False
173,4150.6,False
174,4152.0,False
175,4153.4,False
176,4154.8,False
177,4156.2,False
178,4157.6,False
179,4159.0,False
180,4160.4,False
181,4161.8,False
182,4163.2,False
183,4164.6,False
184,4166.0,False
185,4167.4,False
186,4168.8,False
187,4170.2,False
188,4171.6,False
189,4173.0,False
190,4174.4,False
191,4175.8,False
192,4177.2,False
193,4178.6,False
194,4180.0,False
195,4181.4,False
196,4182.8,False
197,4184.2,False
198,4185.6,False
199,4187.0,False
200,4188.4,False
201,4189.8,False
202,4191.2,False
203,4192.6,False
204,4194.0,False
205,4195.4,False
206,4196.8,False
207,4198.2,False
208,4199.6,False
209,4201.0,False
210,4202.4,False
211,4203.8,False
212,4205.2,False
213,4206.6,False
214,4208.0,False
215,4209.4,False
216,4210.8,False
217,4212.2,False
218,4213.6,False
219,4215.0,False
220,4216.4,False
221,4217.8,False
222,4219.2,False
223,4220.6,False
224,4222.0,False
225,4223.4,False
226,4224.8,False
227,4226.2,False
228,4227.6,False
229,4229.0,False
230,4230.4,False
231,4231.8,False
232,4233.2,False
233,4234.6,False
234,4236.0,False
235,4237.4,False
236,4238.8,False
237,4240.2,False
