,wavel,flux_flag_1
354,4405.4,False
355,4406.8,False
356,4408.2,False
357,4409.6,False
358,4411.0,False
359,4412.4,False
360,4413.8,False
361,4415.2,False
362,4416.6,False
363,4418.0,False
364,4419.4,False
365,4420.8,False
366,4422.2,False
367,4423.6,False
368,4425.0,False
369,4426.4,False
370,4427.8,False
371,4429.2,False
372,4430.6,False
373,4432.0,False
374,4433.4,False
375,4434.8,False
376,4436.2,False
377,4437.6,False
378,4439.0,False
379,4440.4,False
380,4441.8,False
381,4443.2,False
382,4444.6,False
383,4446.0,False
384,4447.4,False
385,4448.8,False
386,4450.2,False
387,4451.6,False
388,4453.0,False
389,4454.4,False
390,4455.8,False
391,4457.2,False
392,4458.6,False
393,4460.0,False
394,4461.4,False
395,4462.8,False
396,4464.2,False
397,4465.6,False
398,4467.0,False
399,4468.4,False
400,4469.8,False
401,4471.2,False
402,4472.6,False
403,4474.0,False
404,4475.4,False
405,4476.8,False
406,4478.2,False
407,4479.6,False
408,4481.0,False
409,4482.4,False
410,4483.8,False
411,4485.2,False
412,4486.6,False
413,4488.0,False
414,4489.4,False
415,4490.8,False
416,4492.2,False
417,4493.6,False
418,4495.0,False
419,4496.4,False
420,4497.8,False
421,4499.2,False
422,4500.6,False
423,4502.0,False
424,4503.4,False
425,4504.8,False
426,4506.2,False
427,4507.6,False
428,4509.0,False
429,4510.4,False
430,4511.8,False
431,4513.2,False
432,4514.6,False
433,4516.0,False
434,4517.4,False
435,4518.8,False
436,4520.2,False
437,4521.6,False
438,4523.0,False
439,4524.4,False
440,4525.8,False
441,4527.2,False
442,4528.6,False
443,4530.0,False
444,4531.4,False
445,4532.8,False
446,4534.2,False
447,4535.6,False
448,4537.0,False
449,4538.4,False
450,4539.8,False
451,4541.2,False
452,4542.6,False
453,4544.0,False
454,4545.4,False
455,4546.8,False
456,4548.2,False
457,4549.6,False
458,4551.0,False
459,4552.4,False
460,4553.8,False
461,4555.2,False
462,4556.6,False
463,4558.0,False
464,4559.4,False
465,4560.8,False
466,4562.2,False
467,4563.6,False
468,4565.0,False
469,4566.4,False
470,4567.8,False
471,4569.2,False
472,4570.6,False
473,4572.0,False
474,4573.4,False
475,4574.8,False
476,4576.2,False
477,4577.6,False
478,4579.0,False
479,4580.4,False
480,4581.8,False
481,4583.2,False
482,4584.6,False
483,4586.0,False
484,4587.4,False
485,4588.8,False
486,4590.2,False
487,4591.6,False
488,4593.0,False
489,4594.4,False
490,4595.8,False
491,4597.2,False
492,4598.6,False
