     HJD      MAG_2  MAG_0  MAG_1  MAG_3  MAG_4    MER_2 MER_0 MER_1 MER_3 MER_4 GRADE FRAME
   2053.50797  9.876  9.833  9.863  9.868  9.872    0.036 0.049 0.046 0.032 0.032  A 19978
   2069.45786  9.815  9.732  9.805  9.813  9.815    0.024 0.045 0.028 0.028 0.032  A 22224
   2442.45088 10.167 10.147 10.170 10.173 10.186    0.064 0.071 0.068 0.069 0.076  D 8406
   2660.77016  9.868  9.824  9.863  9.865  9.869    0.037 0.048 0.039 0.042 0.044  A 35993
   2712.60362 10.098 10.090 10.079 10.098 10.094    0.027 0.036 0.032 0.028 0.030  A 45107
   2720.59663 10.100 10.108 10.091 10.102 10.096    0.027 0.035 0.030 0.029 0.033  A 46277
   2722.59576 10.201 10.204 10.194 10.195 10.207    0.037 0.040 0.056 0.033 0.031  B 46662
   2724.59375 10.227 10.211 10.235 10.223 10.226    0.023 0.034 0.030 0.025 0.028  A 47043
   2726.59207  9.929  9.942  9.919  9.925  9.924    0.024 0.032 0.030 0.026 0.029  A 47442
   2728.58324  9.827  9.838  9.822  9.824  9.825    0.027 0.035 0.033 0.030 0.033  A 47833
   2730.57915  9.862  9.863  9.850  9.858  9.856    0.024 0.034 0.031 0.026 0.029  A 48240
   2735.62089 10.230 10.250 10.238 10.226 10.223    0.022 0.036 0.026 0.025 0.029  A 49018
   2737.60811 10.088 10.081 10.080 10.088 10.089    0.024 0.031 0.026 0.028 0.033  A 49409
   2740.53155 10.071 10.053 10.065 10.063 10.068    0.029 0.038 0.041 0.034 0.032  A 49919
   2743.54722  9.840  9.802  9.835  9.841  9.846    0.026 0.038 0.028 0.030 0.035  A 50515
   2750.58249 10.156 10.141 10.154 10.154 10.157    0.023 0.032 0.027 0.026 0.029  A 51610
   2752.55638 10.031 10.039 10.051 10.022 10.022    0.027 0.035 0.039 0.028 0.031  A 51989
   2755.55183  9.824  9.818  9.824  9.826  9.826    0.023 0.032 0.028 0.025 0.028  A 52422
   2757.54858  9.917  9.896  9.924  9.922  9.929    0.025 0.036 0.043 0.027 0.029  A 52837
   2759.57583 10.151 10.171 10.169 10.154 10.156    0.041 0.050 0.044 0.044 0.047  A 53192
   2761.55156 10.201 10.234 10.192 10.208 10.218    0.025 0.039 0.036 0.027 0.031  A 53593
   2766.53764  9.922  9.898  9.936  9.912  9.917    0.024 0.040 0.030 0.027 0.030  A 54482
   2770.56202  9.958  9.966  9.957  9.954  9.956    0.024 0.033 0.027 0.028 0.032  A 54824
   2783.50017  9.816  9.842  9.804  9.821  9.824    0.029 0.042 0.041 0.027 0.029  A 55877
   2785.50407  9.978  9.944  9.943  9.977  9.987    0.024 0.038 0.043 0.026 0.028  A 56300
   2787.50377 10.163 10.194 10.144 10.163 10.170    0.029 0.038 0.042 0.030 0.028  A 56738
   2790.53532 10.096 10.083 10.096 10.094 10.094    0.022 0.033 0.031 0.026 0.029  A 57284
   2792.54208  9.879  9.868  9.886  9.875  9.881    0.027 0.039 0.029 0.029 0.032  A 57681
   2804.51482  9.955  9.980  9.943  9.973  9.984    0.032 0.040 0.033 0.037 0.043  A 58994
   2810.46685  9.875  9.866  9.862  9.878  9.880    0.023 0.039 0.035 0.025 0.028  A 59662
   2812.47372 10.056 10.100 10.048 10.052 10.060    0.025 0.035 0.031 0.028 0.031  A 60115
   2814.47617 10.228 10.175 10.236 10.222 10.227    0.028 0.037 0.032 0.032 0.036  A 60578
   2820.45088  9.915  9.912  9.900  9.905  9.902    0.031 0.036 0.033 0.034 0.036  A 61440
   2946.86346  9.942  9.953  9.932  9.941  9.938    0.024 0.036 0.028 0.027 0.032  A 78924
   2952.84303 10.281 10.268 10.272 10.278 10.293    0.040 0.040 0.038 0.043 0.049  A 79766
   2962.83257 10.134 10.155 10.107 10.139 10.120    0.031 0.039 0.033 0.035 0.039  A 81135
   2974.81748 10.069 10.037 10.077 10.064 10.077    0.034 0.044 0.034 0.038 0.040  A 82645
   2977.79891 10.260 10.225 10.255 10.266 10.279    0.031 0.036 0.030 0.038 0.044  A 83051
   2980.82079  9.969  9.943  9.957  9.978  9.981    0.041 0.046 0.038 0.043 0.046  A 83449
   3005.77689 10.222 10.233 10.234 10.215 10.212    0.024 0.034 0.027 0.028 0.032  A 86513
   3007.77813  9.941  9.902  9.951  9.936  9.932    0.024 0.043 0.028 0.026 0.030  A 86777
   3009.82892  9.842  9.856  9.858  9.829  9.831    0.055 0.057 0.053 0.057 0.060  B 87045
   3012.75989  9.900  9.874  9.917  9.888  9.886    0.027 0.039 0.030 0.032 0.037  A 87419
   3016.79469 10.238 10.235 10.240 10.238 10.244    0.024 0.036 0.029 0.027 0.030  A 87803
   3018.81480  9.950  9.962  9.940  9.952  9.947    0.027 0.040 0.031 0.032 0.036  A 88081
   3023.76645  9.940  9.892  9.939  9.922  9.914    0.066 0.072 0.068 0.067 0.069  D 88343
   3028.76136 10.169 10.123 10.178 10.158 10.160    0.024 0.050 0.029 0.027 0.029  A 88587
   3031.70839 10.198 10.198 10.187 10.199 10.212    0.027 0.036 0.030 0.030 0.035  A 88861
   3033.73621 10.045 10.009 10.063 10.042 10.043    0.022 0.034 0.026 0.025 0.028  A 89059
   3035.78483  9.849  9.814  9.848  9.845  9.846    0.024 0.036 0.028 0.027 0.030  A 89301
   3043.72260 10.193 10.189 10.214 10.188 10.172    0.032 0.039 0.036 0.036 0.043  A 89955
   3045.76298  9.983  9.948  9.980  9.978  9.978    0.026 0.037 0.029 0.029 0.034  A 90237
   3048.71050  9.872  9.834  9.874  9.875  9.884    0.034 0.040 0.034 0.039 0.042  A 90622
