     HJD      MAG_3  MAG_0  MAG_1  MAG_2  MAG_4    MER_3 MER_0 MER_1 MER_2 MER_4 GRADE FRAME
   2928.77351  9.317  9.286  9.321  9.329  9.323    0.037 0.047 0.038 0.032 0.031  A 76247
   2930.76880  9.418  9.431  9.403  9.415  9.425    0.034 0.036 0.038 0.029 0.028  A 76593
   2932.75566  9.505  9.539  9.477  9.509  9.515    0.035 0.043 0.039 0.031 0.029  A 76944
   2937.70713  9.921  9.937  9.951  9.936  9.925    0.037 0.039 0.042 0.032 0.031  A 77731
   2940.72882  9.785  9.758  9.793  9.794  9.788    0.034 0.046 0.037 0.029 0.029  A 78040
   2942.70373  9.810  9.825  9.796  9.813  9.817    0.036 0.060 0.040 0.032 0.029  A 78228
   2944.70825  9.821  9.857  9.813  9.825  9.829    0.036 0.048 0.041 0.031 0.031  A 78555
   2948.74466  9.922  9.937  9.914  9.923  9.927    0.037 0.045 0.036 0.031 0.032  A 79154
   2956.69650  9.047  9.063  9.025  9.034  9.051    0.033 0.047 0.037 0.029 0.031  A 80258
   2958.71776  9.318  9.254  9.315  9.313  9.320    0.037 0.044 0.037 0.031 0.031  A 80554
   2960.69129  9.366  9.377  9.349  9.367  9.373    0.045 0.047 0.046 0.040 0.043  A 80798
   2962.72861  9.553  9.561  9.545  9.558  9.561    0.036 0.040 0.041 0.031 0.033  A 81097
   2964.71892  9.626  9.629  9.629  9.634  9.639    0.038 0.043 0.039 0.032 0.034  A 81376
   2966.72221  9.727  9.701  9.740  9.729  9.733    0.038 0.039 0.041 0.032 0.034  A 81663
   2968.77115  9.809  9.811  9.829  9.812  9.812    0.039 0.039 0.042 0.033 0.036  A 81957
   2971.60965  9.315  9.317  9.310  9.324  9.320    0.034 0.036 0.039 0.029 0.028  A 82233
   2973.63976  9.098  9.081  9.101  9.104  9.105    0.035 0.042 0.037 0.029 0.028  A 82468
   2975.65050  9.310  9.316  9.304  9.308  9.319    0.035 0.040 0.037 0.030 0.031  A 82719
   2983.63773  9.692  9.713  9.696  9.700  9.697    0.037 0.040 0.040 0.033 0.033  A 83776
   2985.64381  9.775  9.782  9.774  9.782  9.784    0.036 0.040 0.038 0.030 0.030  A 84042
   2990.63695  9.329  9.342  9.329  9.340  9.332    0.035 0.039 0.039 0.032 0.030  A 84642
   2992.63810  9.453  9.468  9.440  9.456  9.459    0.036 0.039 0.040 0.031 0.031  A 84918
   2994.65290  9.597  9.572  9.601  9.599  9.595    0.035 0.039 0.038 0.029 0.029  A 85187
   2996.66786  9.696  9.683  9.683  9.699  9.696    0.044 0.044 0.043 0.039 0.043  A 85455
   2998.67938  9.803  9.790  9.776  9.791  9.793    0.046 0.044 0.046 0.040 0.044  A 85735
   3001.62792  9.044  9.025  9.021  9.045  9.050    0.033 0.043 0.038 0.029 0.028  A 85983
   3008.58492  9.832  9.872  9.824  9.831  9.821    0.048 0.053 0.044 0.042 0.047  B 86820
   3010.62372  9.932  9.955  9.926  9.936  9.938    0.039 0.042 0.042 0.034 0.036  A 87104
   3015.62915  9.862  9.885  9.832  9.853  9.872    0.048 0.051 0.048 0.042 0.048  B 87617
