     HJD      MAG_3  MAG_0  MAG_1  MAG_2  MAG_4    MER_3 MER_0 MER_1 MER_2 MER_4 GRADE FRAME
   4757.76352  9.354  9.328  9.361  9.356  9.358    0.039 0.053 0.040 0.033 0.037  A 289673
   4760.71609  9.747  9.755  9.737  9.755  9.758    0.033 0.042 0.036 0.029 0.031  A 290067
   4763.70826  9.115  9.096  9.103  9.115  9.120    0.035 0.057 0.040 0.031 0.031  A 290462
   4766.69718  9.838  9.844  9.839  9.841  9.844    0.034 0.047 0.038 0.030 0.031  A 290898
   4769.68798  9.480  9.506  9.465  9.479  9.484    0.033 0.043 0.037 0.030 0.030  A 291315
   4771.72378  9.623  9.627  9.604  9.625  9.630    0.041 0.111 0.051 0.038 0.039  B 291599
   4773.83182  9.830  9.845  9.816  9.839  9.840    0.038 0.039 0.038 0.032 0.034  A 291892
   4776.66657  9.090  9.052  9.093  9.091  9.096    0.035 0.051 0.041 0.032 0.032  A 292234
   4778.72323  9.258  9.267  9.250  9.266  9.268    0.036 0.041 0.039 0.032 0.031  A 292518
   4784.68822  9.618  9.698  9.673  9.634  9.607    0.045 0.041 0.041 0.037 0.045  A 293143
   4787.67829 99.999 99.999 99.999 99.999 99.999    0.038 0.045 0.038 0.033 0.036  C 293493
   4792.63952  9.780  9.775  9.771  9.780  9.778    0.036 0.045 0.040 0.033 0.033  A 294049
   4794.76320  9.824  9.835  9.802  9.816  9.824    0.038 0.049 0.040 0.033 0.035  A 294340
   4797.76305  9.651  9.714  9.647  9.651  9.653    0.043 0.070 0.045 0.038 0.041  B 294636
   4802.75596  8.994  8.971  8.960  8.989  8.994    0.045 0.076 0.050 0.042 0.042  B 295268
   4805.61178  9.724  9.743  9.716  9.724  9.735    0.039 0.058 0.041 0.034 0.035  A 295590
   4807.61903  9.814  9.817  9.813  9.810  9.807    0.040 0.068 0.043 0.035 0.037  B 295867
   4812.61031  9.327  9.379  9.325  9.335  9.339    0.061 0.086 0.054 0.052 0.069  D 296411
   4814.66432  9.569  9.577  9.591  9.584  9.585    0.048 0.081 0.051 0.044 0.044  B 296673
   4817.61637  9.913  9.874  9.890  9.915  9.912    0.046 0.078 0.049 0.041 0.044  B 297052
   4820.63747  9.775  9.798  9.783  9.777  9.783    0.051 0.082 0.053 0.046 0.050  B 297341
   4823.63115  9.184  9.152  9.144  9.175  9.184    0.046 0.074 0.048 0.041 0.045  B 297739
   4825.69996  9.510  9.471  9.514  9.512  9.508    0.045 0.072 0.047 0.040 0.041  B 297993
   4831.56820  9.514  9.582  9.516  9.521  9.514    0.057 0.078 0.055 0.044 0.057  B 298741
   4839.54535  9.830  9.816  9.852  9.837  9.834    0.051 0.086 0.054 0.047 0.052  B 299750
   4842.57271  9.413  9.358  9.399  9.407  9.436    0.050 0.083 0.050 0.043 0.050  B 300092
   4845.56202  9.814  9.875  9.816  9.816  9.814    0.049 0.074 0.049 0.043 0.047  B 300412
   4848.55592  9.632  9.592  9.614  9.635  9.639    0.045 0.077 0.046 0.040 0.041  B 300779
   4851.55213  9.042  9.089  9.049  9.049  9.047    0.052 0.086 0.054 0.046 0.050  B 301159
   4857.57372  9.396  9.324  9.389  9.389  9.408    0.049 0.083 0.053 0.044 0.047  B 301793
   4860.57093  9.899  9.811  9.904  9.899  9.903    0.044 0.079 0.048 0.040 0.042  B 302023
   4866.58252  9.067  9.099  9.073  9.075  9.081    0.066 0.088 0.056 0.055 0.073  D 302765
   4870.55589  9.337  9.297  9.360  9.346  9.343    0.048 0.089 0.052 0.043 0.047  B 303224
   4876.56448  9.693  9.587  9.671  9.675  9.700    0.060 0.070 0.052 0.049 0.066  D 303952
   4880.53354  9.785  9.765  9.748  9.779  9.793    0.046 0.076 0.049 0.041 0.045  B 304375
   4883.53838  9.171  9.205  9.181  9.169  9.174    0.051 0.068 0.052 0.045 0.049  B 304766
   4887.52569  9.425  9.485  9.424  9.414  9.429    0.063 0.089 0.061 0.055 0.068  D 305239
   4894.50981  9.368  9.413  9.371  9.360  9.366    0.058 0.081 0.056 0.050 0.061  B 306055
   5070.90202  9.906  9.911  9.897  9.905  9.903    0.052 0.068 0.050 0.044 0.054  B 324947
   5081.85260  9.850  9.854  9.885  9.847  9.838    0.124 0.081 0.089 0.099 0.150  D 325890
   5088.81515  9.595  9.588  9.585  9.589  9.579    0.041 0.044 0.043 0.036 0.042  A 326909
   5104.81032  9.873  9.851  9.878  9.876  9.881    0.043 0.044 0.044 0.038 0.042  A 328511
   5106.81109  9.092  9.072  9.045  9.086  9.098    0.047 0.051 0.046 0.041 0.047  B 328831
   5112.79073  9.335  9.358  9.334  9.331  9.321    0.059 0.067 0.056 0.051 0.069  D 329627
   5122.77155  9.707  9.737  9.703  9.710  9.690    0.068 0.063 0.065 0.061 0.069  D 330627
   5124.80102  9.821  9.841  9.815  9.832  9.828    0.046 0.052 0.048 0.040 0.046  B 330949
   5130.69715  9.808  9.814  9.789  9.809  9.801    0.080 0.070 0.069 0.067 0.089  D 331617
   5132.74370  9.876  9.866  9.885  9.878  9.882    0.050 0.047 0.046 0.043 0.052  B 331874
   5143.81561  9.958  9.927  9.906  9.927  9.978    0.077 0.067 0.066 0.064 0.083  D 332707
   5147.67893  9.797  9.792  9.794  9.792  9.804    0.060 0.065 0.061 0.054 0.061  D 333063
   5155.66884  8.952  8.952  8.936  8.957  8.942    0.048 0.080 0.061 0.043 0.048  D 333500
   5158.63037  9.803  9.785  9.788  9.798  9.806    0.052 0.069 0.050 0.043 0.053  B 333815
   5161.71470 99.999  9.546  9.543 99.999 99.999    0.121 0.083 0.083 0.095 0.149  D 334102
   5167.63949  9.672  9.714  9.660  9.666  9.678    0.063 0.079 0.057 0.053 0.070  D 334814
   2468.92755  9.088  9.093  9.063  9.063  9.087    0.037 0.048 0.050 0.037 0.037  A 11841
   3365.60795  8.986  9.011  8.993  8.987  8.981    0.047 0.090 0.054 0.045 0.053  B 125046
   3367.66503  9.344  9.376  9.335  9.335  9.332    0.056 0.099 0.057 0.051 0.065  B 125267
   3383.60816 99.999 99.999 99.999 99.999 99.999    0.043 0.071 0.045 0.039 0.049  C 125747
   3385.62092  9.791  9.719  9.783  9.787  9.784    0.050 0.096 0.056 0.047 0.054  B 126029
   3391.55470  9.857  9.804  9.833  9.852  9.852    0.044 0.083 0.049 0.041 0.048  B 126811
   3395.56752  8.963  8.948  8.940  8.948  8.954    0.036 0.065 0.039 0.033 0.042  B 127240
   3398.54499  9.797  9.720  9.786  9.795  9.801    0.057 0.104 0.057 0.051 0.065  B 127602
   3401.54057  9.356  9.279  9.356  9.358  9.353    0.032 0.056 0.040 0.029 0.035  A 128030
   3573.93047  9.420  9.401  9.434  9.419  9.417    0.035 0.043 0.043 0.033 0.040  A 151211
   3577.92441  9.093  9.041  9.079  9.087  9.089    0.032 0.048 0.034 0.029 0.037  A 151902
   3587.89305  9.605  9.593  9.602  9.598  9.604    0.055 0.055 0.053 0.049 0.061  B 153610
   3617.84359  9.613  9.589  9.618  9.618  9.606    0.032 0.045 0.036 0.030 0.037  A 157204
   3624.81678  9.132  9.135  9.156  9.129  9.126    0.029 0.046 0.038 0.028 0.031  A 158106
   3642.76267  9.793  9.780  9.771  9.783  9.792    0.033 0.041 0.043 0.031 0.039  A 160359
   3670.78399  9.819  9.811  9.790  9.815  9.811    0.029 0.038 0.033 0.027 0.033  A 164161
   4302.92484  9.721  9.679  9.714  9.721  9.717    0.057 0.049 0.052 0.052 0.060  B 232697
   4306.91039  9.917  9.958  9.951  9.925  9.905    0.030 0.043 0.037 0.028 0.035  A 233413
   4310.91947  9.800  9.742  9.781  9.804  9.814    0.086 0.072 0.073 0.078 0.092  D 233994
   4314.92339  9.890  9.875  9.867  9.874  9.885    0.052 0.056 0.051 0.048 0.060  B 234478
   4330.84161  9.555  9.573  9.529  9.544  9.546    0.031 0.042 0.038 0.029 0.034  A 235385
   4332.86359  9.690  9.666  9.671  9.686  9.687    0.073 0.070 0.069 0.067 0.079  D 235753
   4334.85735  9.806  9.793  9.797  9.805  9.800    0.029 0.048 0.037 0.027 0.031  A 236109
   4338.83562  9.783  9.772  9.785  9.780  9.776    0.038 0.044 0.043 0.035 0.039  B 236498
   4340.85665  9.795  9.767  9.787  9.787  9.803    0.060 0.062 0.054 0.053 0.066  D 236843
   4342.85764  9.806  9.747  9.781  9.797  9.802    0.058 0.063 0.056 0.055 0.064  B 237176
   4351.81564  9.794  9.785  9.802  9.797  9.784    0.043 0.043 0.041 0.037 0.050  B 238658
   4354.79844  9.201  9.180  9.192  9.202  9.192    0.031 0.049 0.039 0.029 0.033  A 239053
   4357.79432  9.783  9.762  9.780  9.787  9.781    0.034 0.038 0.038 0.032 0.036  A 239517
   4363.78412  9.785  9.770  9.749  9.769  9.784    0.028 0.039 0.036 0.026 0.031  A 240388
   4365.78358  9.031  9.026  9.008  9.024  9.022    0.028 0.039 0.036 0.027 0.032  A 240699
   4368.76408  9.799  9.785  9.796  9.790  9.795    0.033 0.038 0.039 0.030 0.036  A 241026
   4379.84404 10.012 10.016 10.012 10.016 10.009    0.028 0.049 0.037 0.027 0.031  A 242640
   4382.72824  8.967  8.930  8.963  8.960  8.971    0.028 0.039 0.037 0.027 0.031  A 243054
   4384.81587  9.392  9.408  9.364  9.388  9.387    0.028 0.039 0.036 0.027 0.031  A 243390
   4389.72692  9.786  9.715  9.771  9.779  9.777    0.038 0.047 0.042 0.035 0.041  B 244137
   4402.76758  9.834  9.869  9.848  9.851  9.830    0.032 0.057 0.038 0.030 0.036  A 245156
   4420.64872 29.999 29.999 29.999 29.999 29.999    0.035 0.043 0.038 0.032 0.039  C 246462
   4665.92914  9.727  9.741  9.712  9.727  9.718    0.034 0.050 0.038 0.031 0.037  A 278177
   4671.92683  9.233  9.239  9.234  9.234  9.226    0.028 0.041 0.034 0.026 0.033  A 278993
   4677.91961  9.572  9.552  9.553  9.564  9.562    0.027 0.041 0.033 0.025 0.030  A 279754
   4682.91585  8.937  8.926  8.901  8.931  8.937    0.029 0.041 0.036 0.028 0.031  A 280439
   4686.90859  9.244  9.289  9.256  9.254  9.229    0.037 0.122 0.057 0.036 0.039  D 281139
   4690.89968  9.457  9.453  9.439  9.453  9.452    0.029 0.041 0.037 0.027 0.031  A 281771
   4694.90226  9.681  9.622  9.672  9.677  9.678    0.031 0.043 0.038 0.030 0.033  A 282277
   4698.86324  9.777  9.776  9.755  9.767  9.768    0.030 0.043 0.038 0.029 0.034  A 282686
   4702.91301  9.795  9.795  9.789  9.794  9.794    0.028 0.043 0.035 0.027 0.031  A 283407
   4705.88406  9.491  9.490  9.473  9.484  9.486    0.029 0.043 0.036 0.027 0.031  A 283913
   4708.86718  9.908  9.896  9.891  9.895  9.906    0.029 0.044 0.036 0.027 0.032  A 284268
   4716.81662  9.080  9.143  9.110  9.095  9.050    0.081 0.080 0.072 0.073 0.091  D 284858
   4720.83436  9.409  9.374  9.377  9.405  9.405    0.029 0.044 0.038 0.027 0.032  A 285166
   4722.87263  9.601  9.580  9.597  9.603  9.588    0.032 0.064 0.040 0.031 0.034  B 285508
   4725.82688  9.853  9.823  9.832  9.842  9.869    0.032 0.046 0.036 0.029 0.036  A 285803
   4741.77808  9.665  9.707  9.650  9.652  9.656    0.029 0.050 0.035 0.026 0.032  A 287634
   4746.80336  9.208  9.171  9.182  9.187  9.200    0.036 0.045 0.038 0.033 0.039  A 288318
   4751.83215  9.892  9.977  9.956  9.920  9.923    0.114 0.075 0.078 0.090 0.136  D 288875
   4760.72312 29.999 29.999 29.999 29.999 29.999    0.028 0.037 0.033 0.025 0.031  C 290069
   4763.71178  9.139  9.140  9.112  9.115  9.139    0.028 0.042 0.036 0.027 0.031  A 290463
   4766.70054 29.999 29.999 29.999 29.999 29.999    0.028 0.041 0.034 0.026 0.031  C 290899
   4773.79157  9.812  9.781  9.775  9.799  9.806    0.029 0.041 0.035 0.026 0.032  A 291879
   5024.93566  9.422  9.410  9.422  9.414  9.417    0.043 0.052 0.045 0.038 0.050  B 320919
   5040.93312  9.862  9.851  9.851  9.863  9.845    0.039 0.047 0.042 0.037 0.043  B 322294
   5049.90663  9.804  9.822  9.797  9.801  9.803    0.048 0.049 0.045 0.042 0.056  B 323323
   5063.89602  9.030  9.056  9.044  9.029  9.005    0.044 0.052 0.047 0.041 0.049  B 324029
   5067.87477  9.288  9.327  9.310  9.298  9.288    0.050 0.059 0.050 0.046 0.054  B 324553
   5070.89585  9.843  9.820  9.833  9.835  9.858    0.047 0.044 0.041 0.040 0.056  B 324945
   5074.87431  9.481  9.446  9.463  9.472  9.480    0.046 0.048 0.048 0.044 0.052  B 325322
   5079.86482  9.804  9.772  9.785  9.791  9.802    0.066 0.062 0.061 0.057 0.083  D 325662
   5085.86543  9.848  9.840  9.868  9.854  9.838    0.044 0.056 0.055 0.040 0.048  B 326422
   5088.81753  9.555  9.585  9.552  9.554  9.555    0.039 0.043 0.041 0.035 0.045  B 326910
   5098.77557  9.780  9.782  9.767  9.778  9.771    0.040 0.046 0.043 0.036 0.044  B 328017
   5104.81536  9.777  9.741  9.792  9.778  9.762    0.041 0.045 0.044 0.037 0.045  B 328513
   5106.81970  8.978  8.971  8.944  8.959  8.967    0.044 0.048 0.043 0.039 0.050  B 328834
   5116.75860  9.482  9.469  9.458  9.467  9.460    0.040 0.049 0.042 0.037 0.046  B 330046
   5123.70813  9.598  9.608  9.597  9.606  9.594    0.055 0.069 0.054 0.051 0.059  B 330763
   5125.83917  9.279  9.325  9.343  9.292  9.244    0.052 0.100 0.069 0.048 0.057  D 331117
   5131.70117 29.999 29.999 29.999 29.999 29.999    0.046 0.046 0.042 0.040 0.052  C 331758
