ang flux
3902.40393209038 1625.8077392578125
3903.804795040361 1671.9501953125
3905.205657990342 1694.9906005859375
3906.606520940323 1744.647705078125
3908.0073838903045 1815.7657470703125
3909.4082468402858 1854.355712890625
3910.8091097902666 1858.3607177734375
3912.209972740248 1850.54443359375
3913.610835690229 1847.3121337890625
3915.0116986402104 1861.8948974609375
3916.412561590191 1879.506591796875
3917.8134245401725 1888.135009765625
3919.2142874901538 1877.6614990234375
3920.615150440135 1864.7100830078125
3922.016013390116 1871.3726806640625
3923.416876340097 1882.77099609375
3924.8177392900784 1888.2335205078125
3926.2186022400597 1864.507080078125
3927.6194651900405 1810.50927734375
3929.020328140022 1741.1409912109375
3930.421191090003 1596.4215087890625
3931.8220540399843 1322.2115478515625
3933.222916989965 1074.1651611328125
3934.6237799399464 1152.990478515625
3936.0246428899277 1474.197021484375
3937.425505839909 1722.1490478515625
3938.82636878989 1829.1497802734375
3940.227231739871 1871.9671630859375
3941.6280946898523 1867.293212890625
3943.0289576398336 1840.87890625
3944.4298205898144 1848.024169921875
3945.8306835397957 1875.2489013671875
3947.231546489777 1884.3453369140625
3948.6324094397582 1881.0841064453125
3950.033272389739 1869.135986328125
3951.4341353397203 1874.0775146484375
3952.8349982897016 1880.5128173828125
3954.235861239683 1853.1312255859375
3955.6367241896637 1816.668701171875
3957.037587139645 1778.078369140625
3958.4384500896263 1719.1832275390625
3959.8393130396075 1673.62744140625
3961.2401759895884 1633.331787109375
3962.6410389395696 1558.66259765625
3964.041901889551 1450.2071533203125
3965.442764839532 1265.9473876953125
3966.843627789513 993.134765625
3968.2444907394943 759.638916015625
3969.6453536894755 728.0082397460938
3971.046216639457 912.1005859375
3972.4470795894376 1166.9453125
3973.847942539419 1366.34912109375
3975.2488054894 1505.4263916015625
3976.6496684393815 1616.14208984375
3978.0505313893623 1688.950927734375
3979.4513943393436 1739.9197998046875
3980.852257289325 1813.116455078125
3982.253120239306 1850.80126953125
3983.653983189287 1863.147216796875
3985.054846139268 1901.1943359375
3986.4557090892495 1936.00341796875
3987.8565720392307 1960.5050048828125
3989.2574349892116 1996.050048828125
3990.658297939193 2031.36669921875
3992.059160889174 2083.922119140625
3993.4600238391554 2101.352783203125
3994.860886789136 2059.301513671875
3996.2617497391175 2050.092041015625
3997.6626126890988 2059.65869140625
3999.06347563908 2068.15185546875
4000.464338589061 2109.781494140625
4001.865201539042 2136.864501953125
4003.2660644890234 2095.750732421875
4004.6669274390047 2039.6346435546875
4006.0677903889855 2048.734619140625
4007.4686533389668 2087.2744140625
4008.869516288948 2117.732421875
4010.2703792389293 2145.560546875
4011.67124218891 2165.96826171875
4013.0721051388914 2199.739013671875
4014.4729680888727 2256.447265625
4015.873831038854 2263.569091796875
4017.2746939888348 2248.916748046875
4018.675556938816 2256.246337890625
4020.0764198887973 2239.282958984375
4021.4772828387786 2228.91064453125
4022.8781457887594 2243.59912109375
4024.2790087387407 2270.832275390625
4025.679871688722 2283.583740234375
4027.0807346387032 2261.593017578125
4028.481597588684 2242.193115234375
4029.8824605386653 2247.109375
4031.2833234886466 2250.4873046875
4032.684186438628 2245.101318359375
4034.0850493886087 2272.343505859375
4035.48591233859 2312.497802734375
4036.8867752885712 2301.247314453125
4038.2876382385525 2297.50341796875
4039.6885011885333 2329.632568359375
4041.0893641385146 2336.84814453125
4042.490227088496 2307.8232421875
4043.891090038477 2271.731201171875
4045.291952988458 2249.169921875
4046.6928159384393 2255.84619140625
4048.0936788884205 2283.28759765625
4049.494541838402 2319.2900390625
4050.8954047883826 2344.527099609375
4052.296267738364 2332.701904296875
4053.697130688345 2309.6162109375
4055.0979936383264 2313.0107421875
4056.4988565883073 2332.44970703125
4057.8997195382885 2339.46875
4059.30058248827 2327.27294921875
4060.701445438251 2309.095947265625
4062.102308388232 2292.7578125
4063.503171338213 2268.17529296875
4064.9040342881945 2265.9501953125
4066.3048972381757 2296.23046875
4067.7057601881565 2314.1962890625
4069.106623138138 2308.10595703125
4070.507486088119 2304.3935546875
4071.9083490381004 2309.345458984375
4073.309211988081 2310.837646484375
4074.7100749380625 2298.62353515625
4076.1109378880437 2275.037353515625
4077.511800838025 2263.296875
4078.912663788006 2274.82177734375
4080.313526737987 2290.72216796875
4081.7143896879684 2289.685791015625
4083.1152526379497 2270.027587890625
4084.5161155879305 2249.726806640625
4085.9169785379117 2242.643310546875
4087.317841487893 2229.143310546875
4088.7187044378743 2186.438720703125
4090.119567387855 2135.239990234375
4091.5204303378364 2096.69287109375
4092.9212932878177 2050.62890625
4094.322156237799 1977.532470703125
4095.7230191877798 1871.35205078125
4097.123882137761 1734.7196044921875
4098.524745087742 1569.2119140625
4099.925608037724 1394.95703125
4101.326470987705 1292.717041015625
4102.727333937686 1350.59033203125
4104.1281968876665 1542.730712890625
4105.529059837648 1751.6689453125
4106.929922787629 1906.376953125
4108.33078573761 2013.1820068359375
4109.731648687592 2093.205078125
4111.132511637573 2168.52587890625
4112.533374587554 2219.439208984375
4113.934237537535 2265.09326171875
4115.335100487516 2335.135009765625
4116.735963437497 2380.632568359375
4118.136826387478 2409.162109375
4119.53768933746 2424.817626953125
4120.938552287441 2441.182373046875
4122.339415237422 2460.9462890625
4123.740278187403 2459.123779296875
4125.141141137385 2481.3330078125
4126.542004087365 2508.0
4127.942867037346 2504.059814453125
4129.343729987328 2504.290283203125
4130.744592937309 2506.00341796875
4132.14545588729 2487.994140625
4133.546318837271 2492.567626953125
4134.947181787253 2523.89501953125
4136.348044737234 2561.966064453125
4137.748907687214 2586.65771484375
4139.149770637196 2588.573486328125
4140.550633587177 2598.992431640625
4141.951496537158 2596.029052734375
4143.352359487139 2584.675537109375
4144.753222437121 2594.487548828125
4146.154085387102 2604.203369140625
4147.554948337083 2608.355224609375
4148.955811287064 2632.727294921875
4150.356674237045 2655.92236328125
4151.757537187026 2655.251220703125
4153.158400137007 2641.87158203125
4154.559263086989 2629.424072265625
4155.96012603697 2628.58935546875
4157.360988986951 2633.581787109375
4158.7618519369325 2651.532958984375
4160.162714886913 2665.908935546875
4161.563577836894 2666.52783203125
4162.9644407868755 2665.115966796875
4164.365303736857 2658.235107421875
4165.766166686838 2684.141845703125
4167.167029636819 2694.93798828125
4168.567892586801 2668.16796875
4169.968755536782 2657.269775390625
4171.369618486762 2647.073486328125
4172.7704814367435 2624.85986328125
4174.171344386725 2630.666015625
4175.572207336706 2658.52978515625
4176.973070286687 2670.140625
4178.373933236669 2672.453125
4179.77479618665 2685.75146484375
4181.17565913663 2700.7451171875
4182.5765220866115 2696.229248046875
4183.977385036593 2695.479736328125
4185.378247986574 2698.41845703125
4186.779110936555 2684.05078125
4188.179973886537 2687.1015625
4189.580836836518 2707.541259765625
4190.981699786499 2739.35302734375
4192.38256273648 2766.656494140625
4193.783425686461 2765.880126953125
4195.184288636442 2754.173583984375
4196.585151586423 2729.907958984375
4197.986014536405 2702.0078125
4199.386877486386 2692.831298828125
4200.787740436367 2697.721435546875
4202.188603386348 2709.788330078125
4203.589466336329 2737.05908203125
4204.99032928631 2781.69677734375
4206.391192236291 2820.613037109375
4207.792055186273 2826.60791015625
4209.192918136254 2807.90185546875
4210.593781086235 2803.548583984375
4211.994644036216 2818.682861328125
4213.395506986198 2782.34326171875
4214.796369936179 2744.13818359375
4216.197232886159 2771.601806640625
4217.598095836141 2800.253173828125
4218.998958786122 2801.404052734375
4220.399821736103 2828.72509765625
4221.800684686084 2851.067138671875
4223.201547636066 2820.23046875
4224.602410586047 2765.24560546875
4226.003273536027 2712.5517578125
4227.404136486009 2683.75927734375
4228.80499943599 2726.816162109375
4230.205862385971 2810.17724609375
