ang flux
3900.94364376997 1444.818115234375
3902.3439825138876 1496.7506103515625
3903.744321257805 1504.757568359375
3905.1446600017225 1525.42919921875
3906.54499874564 1598.56640625
3907.9453374895575 1726.51220703125
3909.3456762334745 1803.9788818359375
3910.746014977392 1828.6512451171875
3912.1463537213094 1801.4093017578125
3913.546692465227 1741.62939453125
3914.9470312091444 1726.192626953125
3916.347369953062 1730.728759765625
3917.7477086969793 1735.744384765625
3919.148047440897 1747.635986328125
3920.5483861848143 1776.88232421875
3921.9487249287317 1828.0228271484375
3923.3490636726488 1875.586669921875
3924.749402416566 1890.9404296875
3926.1497411604837 1848.515869140625
3927.550079904401 1736.111328125
3928.9504186483186 1593.03515625
3930.350757392236 1384.2974853515625
3931.7510961361536 1054.2476806640625
3933.151434880071 793.8385009765625
3934.5517736239885 905.2561645507812
3935.952112367906 1289.872802734375
3937.3524511118235 1600.907470703125
3938.7527898557405 1749.805419921875
3940.153128599658 1840.125732421875
3941.5534673435754 1881.1583251953125
3942.953806087493 1869.841064453125
3944.3541448314104 1845.3375244140625
3945.754483575328 1838.059814453125
3947.1548223192453 1835.2955322265625
3948.555161063163 1803.970458984375
3949.9554998070803 1790.9532470703125
3951.3558385509978 1784.0860595703125
3952.756177294915 1774.6993408203125
3954.1565160388323 1764.5484619140625
3955.5568547827497 1689.3668212890625
3956.957193526667 1581.80224609375
3958.3575322705847 1578.417236328125
3959.757871014502 1581.8321533203125
3961.1582097584196 1476.756591796875
3962.558548502337 1342.4866943359375
3963.9588872462546 1216.3245849609375
3965.359225990172 1041.333984375
3966.7595647340895 793.5628662109375
3968.1599034780065 582.3795166015625
3969.560242221924 551.5855102539062
3970.9605809658415 715.400634765625
3972.360919709759 950.3548583984375
3973.7612584536764 1141.2681884765625
3975.161597197594 1301.177734375
3976.5619359415114 1414.23095703125
3977.962274685429 1512.9539794921875
3979.3626134293463 1649.9049072265625
3980.762952173264 1742.411376953125
3982.1632909171813 1772.137451171875
3983.5636296610983 1811.257080078125
3984.9639684050157 1857.2435302734375
3986.364307148933 1891.2103271484375
3987.7646458928507 1929.62744140625
3989.164984636768 1976.2359619140625
3990.5653233806856 2041.321044921875
3991.965662124603 2101.984619140625
3993.3660008685206 2124.197998046875
3994.766339612438 2109.474609375
3996.1666783563555 2063.161376953125
3997.5670171002726 2024.3712158203125
3998.96735584419 2096.07861328125
4000.3676945881075 2189.262939453125
4001.768033332025 2180.4794921875
4003.1683720759424 2126.610595703125
4004.56871081986 2094.121337890625
4005.9690495637774 2107.869384765625
4007.369388307695 2199.7021484375
4008.7697270516123 2273.8828125
4010.17006579553 2257.465087890625
4011.5704045394473 2224.27099609375
4012.9707432833643 2223.63671875
4014.371082027282 2258.461181640625
4015.7714207711992 2324.022705078125
4017.1717595151167 2372.345703125
4018.572098259034 2390.692626953125
4019.9724370029517 2406.975830078125
4021.372775746869 2379.583984375
4022.7731144907866 2284.407470703125
4024.173453234704 2251.32421875
4025.5737919786216 2309.4345703125
4026.9741307225386 2349.310546875
4028.374469466456 2330.32177734375
4029.7748082103735 2266.622314453125
4031.175146954291 2209.661865234375
4032.5754856982085 2216.695068359375
4033.975824442126 2278.655517578125
4035.3761631860434 2354.70849609375
4036.776501929961 2427.653564453125
4038.1768406738784 2479.155517578125
4039.577179417796 2490.81884765625
4040.9775181617133 2466.24609375
4042.3778569056303 2423.852783203125
4043.778195649548 2354.557373046875
4045.1785343934653 2272.810546875
4046.5788731373827 2308.343505859375
4047.9792118813 2435.948974609375
4049.3795506252177 2497.1123046875
4050.779889369135 2468.143310546875
4052.1802281130526 2421.57275390625
4053.58056685697 2398.69580078125
4054.9809056008876 2376.959716796875
4056.381244344805 2367.33203125
4057.781583088722 2383.076171875
4059.1819218326395 2414.510986328125
4060.582260576557 2441.9287109375
4061.9825993204745 2399.47265625
4063.382938064392 2307.201904296875
4064.7832768083094 2313.432373046875
4066.183615552227 2374.16650390625
4067.5839542961444 2367.939697265625
4068.984293040062 2364.975830078125
4070.3846317839793 2356.2509765625
4071.7849705278963 2310.27734375
4073.185309271814 2309.95263671875
4074.5856480157313 2328.769287109375
4075.9859867596488 2266.8447265625
4077.3863255035662 2183.7421875
4078.7866642474837 2220.325439453125
4080.187002991401 2293.37646484375
4081.5873417353187 2302.66943359375
4082.987680479236 2268.42626953125
4084.3880192231536 2203.29736328125
4085.7883579670706 2171.23974609375
4087.188696710988 2190.6025390625
4088.5890354549056 2179.896728515625
4089.989374198823 2104.074951171875
4091.3897129427405 2003.256591796875
4092.790051686658 1905.650146484375
4094.1903904305755 1799.8822021484375
4095.590729174493 1683.90234375
4096.99106791841 1536.558349609375
4098.391406662327 1349.67236328125
4099.791745406245 1156.0880126953125
4101.192084150162 1002.22607421875
4102.59242289408 1012.0505981445312
4103.992761637997 1207.878662109375
4105.393100381915 1461.593994140625
4106.793439125832 1647.30712890625
4108.19377786975 1743.8978271484375
4109.594116613667 1855.9619140625
4110.994455357584 1970.743408203125
4112.394794101502 2069.6142578125
4113.795132845419 2167.9765625
4115.195471589337 2228.446044921875
4116.595810333254 2271.36474609375
4117.996149077172 2329.223876953125
4119.396487821089 2363.947998046875
4120.796826565007 2385.367919921875
4122.197165308924 2423.4365234375
4123.597504052841 2459.938720703125
4124.997842796759 2501.10498046875
4126.398181540676 2512.578369140625
4127.798520284594 2470.939208984375
4129.198859028511 2457.98583984375
4130.599197772429 2486.52880859375
4131.999536516346 2490.640380859375
4133.399875260264 2533.85546875
4134.800214004181 2622.402587890625
4136.200552748099 2716.215087890625
4137.600891492016 2798.457275390625
4139.001230235933 2826.80224609375
4140.401568979851 2812.50927734375
4141.801907723768 2779.07666015625
4143.202246467686 2698.783935546875
4144.602585211603 2657.63916015625
4146.002923955521 2723.16552734375
4147.403262699438 2792.459228515625
4148.803601443356 2816.531494140625
4150.203940187273 2826.41552734375
4151.6042789311905 2799.34716796875
4153.0046176751075 2747.130615234375
4154.4049564190245 2718.993408203125
4155.8052951629425 2709.33837890625
4157.2056339068595 2722.22998046875
4158.605972650777 2772.744873046875
4160.006311394694 2832.3388671875
4161.406650138612 2851.5654296875
4162.806988882529 2828.3955078125
4164.207327626447 2818.023681640625
4165.607666370364 2839.92431640625
4167.008005114281 2828.752197265625
4168.408343858199 2814.794189453125
4169.808682602116 2810.363525390625
4171.209021346034 2717.582275390625
4172.609360089951 2594.32958984375
4174.009698833869 2572.24755859375
4175.410037577786 2644.279052734375
4176.810376321704 2694.56005859375
4178.210715065621 2663.62255859375
4179.611053809539 2643.004150390625
4181.011392553456 2724.693359375
4182.411731297374 2763.80224609375
4183.812070041291 2738.612548828125
4185.212408785208 2758.4228515625
4186.612747529126 2774.4375
4188.013086273043 2765.19189453125
4189.413425016961 2818.02099609375
4190.813763760878 2883.06787109375
4192.214102504796 2907.54541015625
4193.614441248713 2930.873046875
4195.014779992631 2922.0400390625
4196.415118736548 2858.70849609375
4197.815457480465 2786.46240234375
4199.215796224383 2738.263916015625
4200.6161349683 2745.31103515625
4202.016473712218 2802.53662109375
4203.416812456135 2842.59033203125
4204.817151200053 2889.59521484375
4206.21748994397 2949.39306640625
4207.617828687888 2969.735107421875
4209.018167431805 2957.763671875
4210.4185061757225 2953.657958984375
4211.81884491964 2971.732666015625
4213.219183663557 2978.364990234375
4214.6195224074745 2936.232177734375
4216.0198611513915 2871.925537109375
4217.420199895309 2869.1591796875
4218.8205386392265 2946.156494140625
4220.220877383144 2983.014892578125
4221.621216127061 2964.38671875
4223.021554870979 2918.388671875
4224.421893614896 2827.35888671875
4225.822232358814 2734.538818359375
4227.222571102731 2721.97119140625
4228.622909846648 2880.542236328125
4230.023248590566 3021.416015625
4231.423587334483 3002.638427734375
4232.823926078401 2908.241455078125
4234.224264822318 2809.029541015625
4235.624603566236 2850.53076171875
4237.024942310153 2932.80126953125
4238.425281054071 2932.707275390625
4239.825619797988 2952.05078125
4241.225958541905 3009.818115234375
4242.626297285823 3026.17138671875
4244.02663602974 3016.834228515625
4245.426974773658 2988.32568359375
4246.827313517575 2917.33251953125
4248.227652261493 2884.749755859375
4249.62799100541 2923.671875
4251.028329749328 2921.73779296875
4252.428668493245 2960.313232421875
4253.829007237163 3045.459716796875
4255.22934598108 3068.717529296875
4256.629684724998 3061.648193359375
4258.030023468915 3040.78662109375
4259.430362212832 3000.603515625
4260.83070095675 2977.640625
4262.231039700667 3044.033935546875
4263.631378444585 3154.49853515625
4265.031717188502 3202.71826171875
4266.43205593242 3220.4306640625
4267.832394676337 3173.90576171875
4269.232733420255 3061.11572265625
4270.633072164172 2958.28125
4272.033410908089 2900.38330078125
4273.433749652007 2924.30908203125
4274.834088395924 3012.904296875
4276.2344271398415 3112.09521484375
4277.6347658837585 3186.00537109375
4279.035104627676 3228.302490234375
4280.4354433715935 3233.73095703125
4281.835782115511 3181.19775390625
4283.236120859428 3106.851806640625
4284.636459603345 3111.072998046875
4286.036798347263 3141.62646484375
4287.43713709118 3089.61962890625
4288.837475835098 2994.108154296875
4290.237814579015 2928.33349609375
4291.638153322933 3000.1748046875
4293.03849206685 3100.5283203125
4294.438830810768 3080.282470703125
4295.839169554685 3026.61962890625
4297.239508298603 2996.11181640625
4298.63984704252 2930.265625
4300.040185786438 2805.4189453125
4301.440524530355 2748.90869140625
4302.840863274272 2823.616943359375
4304.24120201819 2927.878662109375
4305.641540762107 3018.2900390625
4307.041879506025 3032.757568359375
4308.442218249942 2985.317138671875
4309.84255699386 2993.81884765625
4311.242895737777 3036.377685546875
4312.643234481695 2993.557373046875
4314.043573225612 2887.528564453125
4315.443911969529 2846.70654296875
4316.844250713447 2925.410400390625
4318.244589457364 3027.3212890625
4319.644928201282 3019.207275390625
4321.045266945199 2934.0703125
4322.445605689117 2905.13623046875
4323.845944433034 2885.5927734375
4325.246283176952 2756.732666015625
4326.646621920869 2625.88232421875
4328.046960664787 2656.01806640625
4329.447299408704 2695.334228515625
4330.847638152621 2624.724853515625
4332.247976896539 2523.9697265625
4333.648315640456 2409.5595703125
4335.048654384374 2240.96630859375
4336.448993128291 2003.0301513671875
4337.8493318722085 1702.5616455078125
4339.2496706161255 1442.321044921875
4340.650009360043 1313.1217041015625
4342.0503481039605 1384.71923828125
4343.450686847878 1694.1201171875
4344.851025591795 2009.9769287109375
4346.251364335712 2237.503173828125
4347.65170307963 2420.462646484375
4349.052041823547 2527.236328125
4350.452380567465 2566.755859375
4351.852719311382 2577.322021484375
4353.2530580553 2655.73974609375
4354.653396799217 2837.485107421875
4356.053735543135 3023.62109375
4357.454074287052 3119.644775390625
4358.854413030969 3148.065185546875
4360.254751774887 3210.52001953125
4361.655090518804 3290.69287109375
4363.055429262722 3338.263916015625
4364.455768006639 3367.860595703125
4365.856106750557 3379.061279296875
4367.256445494474 3354.575927734375
4368.656784238392 3302.11279296875
4370.057122982309 3287.989501953125
4371.457461726227 3350.119384765625
4372.857800470144 3409.71826171875
4374.258139214062 3380.13916015625
4375.658477957979 3332.270751953125
4377.058816701896 3402.61279296875
4378.459155445814 3540.55517578125
4379.859494189731 3580.900634765625
4381.259832933649 3495.732421875
4382.660171677566 3374.76904296875
4384.060510421484 3221.2744140625
4385.460849165401 3165.46728515625
4386.861187909319 3289.722900390625
4388.261526653236 3439.69921875
4389.661865397153 3497.748291015625
4391.062204141071 3477.443603515625
4392.462542884988 3473.672607421875
4393.862881628906 3456.022705078125
4395.263220372823 3392.373779296875
4396.6635591167405 3404.206787109375
4398.063897860658 3517.37646484375
4399.4642366045755 3532.9267578125
4400.8645753484925 3458.8125
4402.26491409241 3473.059814453125
4403.665252836327 3526.0888671875
4405.0655915802445 3519.682373046875
4406.465930324162 3572.58056640625
4407.866269068079 3648.62939453125
4409.266607811997 3664.620849609375
4410.666946555914 3677.272705078125
4412.067285299832 3692.4775390625
4413.467624043749 3662.646728515625
4414.867962787667 3528.862060546875
4416.268301531584 3377.360107421875
4417.668640275502 3371.954345703125
4419.068979019419 3528.538818359375
4420.469317763336 3705.66015625
4421.869656507254 3769.63525390625
4423.269995251171 3752.22802734375
4424.670333995089 3730.0107421875
4426.070672739006 3713.078857421875
4427.471011482924 3708.9814453125
4428.871350226841 3730.19140625
4430.271688970759 3741.244873046875
4431.672027714676 3721.523193359375
4433.072366458593 3697.776123046875
4434.472705202511 3668.605712890625
4435.873043946428 3653.72265625
4437.273382690346 3742.299560546875
4438.673721434263 3856.443603515625
4440.074060178181 3861.347900390625
4441.474398922098 3748.43603515625
4442.874737666016 3590.718994140625
4444.275076409933 3535.489501953125
4445.675415153851 3685.884765625
4447.075753897768 3837.445556640625
4448.476092641686 3856.1748046875
4449.876431385603 3826.638916015625
4451.27677012952 3789.05615234375
4452.677108873438 3792.845703125
4454.077447617355 3791.14794921875
4455.477786361273 3734.43359375
4456.87812510519 3702.272705078125
4458.2784638491075 3732.951904296875
4459.678802593025 3761.92041015625
4461.0791413369425 3777.743408203125
4462.4794800808595 3803.3955078125
4463.8798188247765 3826.08154296875
4465.280157568694 3816.02685546875
4466.6804963126115 3754.120361328125
4468.080835056529 3674.392578125
4469.481173800446 3634.7783203125
4470.881512544364 3734.6484375
4472.281851288281 3901.156494140625
4473.682190032199 3982.87158203125
4475.082528776116 4026.326171875
4476.482867520033 4011.265869140625
4477.883206263951 3941.9462890625
4479.283545007869 3838.0380859375
4480.683883751786 3623.946533203125
4482.084222495703 3450.357421875
4483.484561239621 3655.7470703125
4484.884899983538 3972.4677734375
4486.285238727456 4072.438232421875
4487.685577471373 4021.193603515625
4489.085916215291 3903.24462890625
4490.486254959208 3836.066162109375
4491.886593703126 3887.676513671875
4493.286932447043 3992.006591796875
4494.68727119096 4038.524658203125
4496.087609934878 4053.46728515625
4497.487948678795 4122.697265625
4498.888287422713 4163.3359375
4500.28862616663 4105.16259765625
4501.688964910548 4008.869140625
4503.089303654465 4047.267822265625
4504.489642398383 4225.23583984375
4505.8899811423 4252.17138671875
4507.290319886217 4144.53759765625
4508.690658630135 4085.845947265625
4510.090997374052 4146.40966796875
4511.49133611797 4251.58349609375
4512.891674861887 4239.37158203125
4514.292013605805 4174.23828125
4515.692352349722 4112.283203125
4517.09269109364 4109.08642578125
4518.493029837557 4153.31689453125
4519.8933685814745 4112.796875
4521.293707325392 4018.103759765625
4522.6940460693095 3951.989501953125
4524.0943848132265 4018.031005859375
4525.4947235571435 4121.86669921875
4526.895062301061 4099.9775390625
4528.2954010449785 4042.399658203125
4529.695739788896 4033.83349609375
4531.096078532813 4048.181396484375
4532.496417276731 4023.029541015625
4533.896756020648 3939.99267578125
4535.297094764566 3943.425537109375
4536.697433508483 4163.99169921875
4538.0977722524 4341.41796875
4539.498110996318 4335.49267578125
4540.898449740235 4261.8447265625
4542.298788484153 4213.28955078125
4543.69912722807 4260.587890625
4545.099465971988 4306.95849609375
4546.499804715905 4263.9970703125
4547.900143459823 4111.22607421875
