ang flux
3902.49117314475 1304.2078857421875
3903.8920674120327 1341.8697509765625
3905.2929616793153 1385.8408203125
3906.6938559465984 1426.3310546875
3908.094750213881 1468.6729736328125
3909.4956444811637 1508.0421142578125
3910.8965387484463 1537.12158203125
3912.297433015729 1514.6544189453125
3913.698327283012 1484.3580322265625
3915.0992215502947 1500.4527587890625
3916.5001158175774 1524.23291015625
3917.90101008486 1527.9339599609375
3919.3019043521426 1514.619873046875
3920.7027986194257 1505.5428466796875
3922.1036928867084 1497.849853515625
3923.504587153991 1505.59375
3924.9054814212736 1532.008056640625
3926.3063756885563 1521.581298828125
3927.7072699558394 1486.0166015625
3929.108164223122 1427.4493408203125
3930.5090584904046 1275.739990234375
3931.9099527576873 1027.237548828125
3933.31084702497 836.2154541015625
3934.711741292253 898.4059448242188
3936.1126355595356 1180.0203857421875
3937.5135298268183 1427.2325439453125
3938.914424094101 1527.4246826171875
3940.3153183613836 1540.724365234375
3941.7162126286667 1531.714111328125
3943.1171068959493 1544.787841796875
3944.518001163232 1549.6939697265625
3945.9188954305146 1562.8255615234375
3947.319789697797 1570.21630859375
3948.7206839650803 1529.5894775390625
3950.121578232363 1505.071044921875
3951.5224724996456 1531.1839599609375
3952.923366766928 1538.5531005859375
3954.3242610342113 1510.751220703125
3955.725155301494 1474.496337890625
3957.1260495687766 1436.1060791015625
3958.526943836059 1410.8743896484375
3959.927838103342 1390.20263671875
3961.328732370625 1351.85986328125
3962.7296266379076 1298.377197265625
3964.13052090519 1210.6077880859375
3965.531415172473 1046.0826416015625
3966.9323094397555 818.6825561523438
3968.3332037070386 624.54052734375
3969.7340979743212 589.2474365234375
3971.134992241604 745.80224609375
3972.5358865088865 973.8746948242188
3973.936780776169 1140.0574951171875
3975.3376750434522 1244.8955078125
3976.738569310735 1349.0054931640625
3978.1394635780175 1413.4573974609375
3979.5403578453 1430.560302734375
3980.941252112583 1459.5894775390625
3982.342146379866 1499.6640625
3983.7430406471485 1527.83251953125
3985.143934914431 1561.899169921875
3986.544829181714 1596.7626953125
3987.9457234489964 1619.5830078125
3989.3466177162795 1637.8907470703125
3990.747511983562 1653.2681884765625
3992.148406250845 1672.38037109375
3993.5493005181274 1684.4710693359375
3994.95019478541 1682.5428466796875
3996.351089052693 1667.0615234375
3997.751983319976 1656.5640869140625
3999.1528775872584 1681.4920654296875
4000.553771854541 1705.1812744140625
4001.9546661218237 1660.8685302734375
4003.355560389107 1612.5606689453125
4004.7564546563895 1617.5526123046875
4006.157348923672 1639.840576171875
4007.5582431909547 1672.7469482421875
4008.9591374582374 1709.4227294921875
4010.3600317255205 1725.2620849609375
4011.760925992803 1737.37939453125
4013.1618202600857 1754.272216796875
4014.5627145273684 1765.0015869140625
4015.963608794651 1784.1807861328125
4017.364503061934 1792.7861328125
4018.7653973292167 1793.5255126953125
4020.1662915964994 1798.9794921875
4021.567185863782 1801.8936767578125
4022.9680801310647 1814.19384765625
4024.3689743983477 1832.5426025390625
4025.7698686656304 1828.4921875
4027.170762932913 1817.0902099609375
4028.5716572001957 1813.67822265625
4029.9725514674783 1807.451904296875
4031.3734457347614 1806.7078857421875
4032.774340002044 1817.2613525390625
4034.1752342693267 1837.467041015625
4035.5761285366093 1859.0980224609375
4036.977022803892 1863.2020263671875
4038.377917071175 1865.2667236328125
4039.7788113384577 1891.5650634765625
4041.1797056057403 1895.3548583984375
4042.580599873023 1878.0010986328125
4043.9814941403056 1860.772705078125
4045.3823884075887 1829.4189453125
4046.7832826748713 1818.419677734375
4048.184176942154 1865.8660888671875
4049.5850712094366 1917.87744140625
4050.9859654767197 1918.5621337890625
4052.3868597440023 1902.2149658203125
4053.787754011285 1896.052490234375
4055.1886482785676 1887.28173828125
4056.5895425458502 1889.1968994140625
4057.990436813133 1904.9000244140625
4059.391331080416 1923.724609375
4060.7922253476986 1917.2991943359375
4062.1931196149812 1877.262451171875
4063.594013882264 1854.385498046875
4064.994908149547 1866.9166259765625
4066.3958024168296 1901.6287841796875
4067.7966966841122 1924.764892578125
4069.197590951395 1914.6259765625
4070.5984852186775 1893.16552734375
4071.99937948596 1879.388671875
4073.4002737532433 1881.73828125
4074.801168020526 1892.0645751953125
4076.2020622878085 1879.1246337890625
4077.602956555091 1844.98974609375
4079.0038508223743 1836.0498046875
4080.404745089657 1867.11865234375
4081.8056393569395 1891.0303955078125
4083.206533624222 1877.2919921875
4084.607427891505 1847.076904296875
4086.008322158788 1832.6068115234375
4087.4092164260705 1830.00927734375
4088.810110693353 1801.665283203125
4090.211004960636 1772.806884765625
4091.6118992279185 1753.608642578125
4093.0127934952015 1708.2584228515625
4094.413687762484 1631.7330322265625
4095.814582029767 1537.8173828125
4097.2154762970495 1434.7484130859375
4098.616370564332 1290.34033203125
4100.017264831615 1129.1160888671875
4101.418159098897 1043.9134521484375
4102.81905336618 1096.55126953125
4104.219947633464 1275.4969482421875
4105.620841900746 1458.56494140625
4107.021736168029 1590.0294189453125
4108.4226304353115 1682.7154541015625
4109.823524702594 1740.618408203125
4111.224418969877 1791.5714111328125
4112.625313237159 1833.4078369140625
4114.026207504442 1855.8067626953125
4115.427101771725 1888.244140625
4116.827996039008 1939.5155029296875
4118.228890306291 1975.9971923828125
4119.6297845735735 1984.0836181640625
4121.030678840856 1991.5350341796875
4122.431573108139 2010.7711181640625
4123.832467375421 2034.6016845703125
4125.233361642704 2044.293701171875
4126.634255909987 2034.8720703125
4128.035150177269 2044.5010986328125
4129.436044444552 2066.92578125
4130.836938711835 2069.511474609375
4132.237832979118 2056.56787109375
4133.638727246401 2058.576171875
4135.039621513683 2090.536376953125
4136.440515780966 2120.304931640625
4137.841410048249 2135.326416015625
4139.242304315531 2146.508056640625
4140.643198582814 2148.7529296875
4142.044092850097 2137.359375
4143.444987117379 2127.046142578125
4144.845881384663 2147.55078125
4146.246775651945 2167.562744140625
4147.647669919228 2173.546875
4149.048564186511 2184.173828125
4150.449458453793 2189.153076171875
4151.850352721076 2193.479248046875
4153.251246988359 2186.0849609375
4154.652141255641 2182.497802734375
4156.053035522924 2188.634033203125
4157.4539297902065 2176.9248046875
4158.85482405749 2167.324951171875
4160.255718324773 2191.386962890625
4161.656612592055 2214.041259765625
4163.057506859338 2209.928955078125
4164.458401126621 2211.1923828125
4165.859295393903 2224.875
4167.260189661186 2221.60986328125
4168.6610839284685 2218.815673828125
4170.061978195751 2207.46533203125
4171.462872463034 2179.874267578125
4172.863766730317 2174.240234375
4174.2646609976 2191.083740234375
4175.665555264883 2202.56298828125
4177.066449532165 2202.976318359375
4178.467343799448 2204.06396484375
4179.868238066731 2209.366943359375
4181.269132334013 2226.139404296875
4182.670026601296 2253.042236328125
4184.0709208685785 2252.09228515625
4185.471815135861 2242.405517578125
4186.872709403145 2243.020751953125
4188.273603670427 2242.0283203125
4189.67449793771 2253.40576171875
4191.075392204993 2273.506103515625
4192.476286472275 2287.632080078125
4193.877180739558 2293.3408203125
4195.2780750068405 2291.4873046875
4196.678969274123 2277.10888671875
4198.079863541406 2251.416259765625
4199.480757808689 2239.03125
4200.881652075972 2257.1337890625
4202.282546343255 2269.370849609375
4203.683440610537 2273.804931640625
4205.08433487782 2300.33056640625
4206.4852291451025 2329.202880859375
4207.886123412385 2361.9638671875
4209.287017679668 2372.39501953125
4210.68791194695 2366.89404296875
4212.088806214233 2359.776611328125
4213.489700481516 2316.3974609375
4214.890594748799 2283.396484375
4216.291489016082 2302.08984375
4217.6923832833645 2328.742431640625
4219.093277550647 2349.4453125
4220.49417181793 2372.489013671875
4221.895066085212 2365.8916015625
4223.295960352495 2329.06298828125
4224.696854619778 2299.6240234375
4226.09774888706 2280.756103515625
4227.498643154344 2280.592529296875
4228.8995374216265 2323.885498046875
4230.300431688909 2380.98486328125
4231.701325956192 2382.353759765625
4233.102220223474 2358.515869140625
4234.503114490757 2353.118896484375
4235.90400875804 2363.42724609375
4237.304903025322 2397.6103515625
4238.705797292605 2418.75341796875
4240.106691559888 2428.348388671875
4241.50758582717 2442.586181640625
4242.908480094454 2442.634521484375
