JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2453773.5656,11.288,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5670,11.292,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5684,11.287,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5698,11.296,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5712,11.303,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5727,11.305,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5741,11.317,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5755,11.318,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5769,11.324,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5783,11.331,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5797,11.333,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5812,11.342,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
