MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1123050029233,11.05,0.05,151.93086,23.99151,53709.43074,0
1123050029233,11.08,0.05,151.93088,23.99158,53709.43808,0
1123050029233,11.11,0.05,151.93083,23.99156,53709.44547,0
1123050029233,11.16,0.05,151.93086,23.99157,53709.45279,0
1123050029233,10.97,0.05,151.93086,23.99159,53728.35724,0
1123050029233,10.98,0.05,151.93089,23.99159,53728.36584,0
1123050029233,10.96,0.05,151.93085,23.99155,53728.37447,0
1123050029233,11.03,0.05,151.93087,23.99152,53728.38315,0
1123050029233,11.03,0.05,151.93084,23.99164,53733.34332,0
1123050029233,11.05,0.05,151.93082,23.99158,53733.35130,0
1123050029233,11.05,0.05,151.93081,23.99155,53733.35932,0
1123050029233,11.08,0.05,151.93087,23.99165,53733.36732,0
1123050029233,10.87,0.05,151.93087,23.99164,53675.47843,0
1123050029233, 9.84,0.05,151.93096,23.99170,53677.46715,0
1123050029233,10.79,0.05,151.93077,23.99149,53678.47409,0
1123050029233,10.83,0.05,151.93076,23.99153,53678.47946,0
1123050029233,10.84,0.05,151.93081,23.99158,53678.48479,0
1123050029233,10.84,0.05,151.93078,23.99143,53678.49015,0
1123050029233,10.94,0.05,151.93081,23.99155,53702.51262,0
1123050029233,10.98,0.05,151.93081,23.99160,53702.51807,0
1123050029233,10.95,0.05,151.93081,23.99152,53702.52348,0
1123050029233,11.01,0.05,151.93083,23.99156,53702.52890,0
1123050029233,11.50,0.05,151.93084,23.99159,53831.10760,0
1123050029233,11.13,0.05,151.93082,23.99155,53831.11422,0
1123050029233,11.11,0.05,151.93083,23.99152,53831.12071,0
1123050029233,11.16,0.05,151.93086,23.99167,53831.12724,0
1123050029233,11.05,0.05,151.93088,23.99154,53850.13922,0
1123050029233,11.13,0.05,151.93092,23.99164,53850.14694,0
1123050029233,11.12,0.05,151.93092,23.99161,53850.15455,0
1123050029233,11.02,0.05,151.93087,23.99162,53850.16239,0
1123050029233,11.07,0.05,151.93087,23.99160,53757.42689,0
1123050029233,10.92,0.05,151.93086,23.99147,53757.43449,0
1123050029233,11.00,0.05,151.93082,23.99162,53762.29108,0
1123050029233,10.98,0.05,151.93083,23.99154,53762.29753,0
1123050029233,10.94,0.05,151.93087,23.99159,53762.30398,0
1123050029233,10.98,0.05,151.93084,23.99160,53762.31042,0
1123050029233,10.19,0.05,151.93105,23.99170,53902.15647,0
1123050029233,10.19,0.05,151.93108,23.99172,53902.15744,0
1123050029233,10.19,0.05,151.93110,23.99172,53902.15842,0
1123050029233,10.18,0.05,151.93109,23.99174,53902.15940,0
1123050029233,11.00,0.05,151.93092,23.99155,53800.34791,0
1123050029233,11.00,0.05,151.93089,23.99149,53800.35450,0
1123050029233,11.03,0.05,151.93092,23.99152,53800.36102,0
1123050029233,11.06,0.05,151.93092,23.99155,53800.36750,0
1123050029233,10.79,0.05,151.93085,23.99154,53819.18733,0
1123050029233,10.84,0.05,151.93085,23.99156,53819.19339,0
1123050029233,10.84,0.05,151.93090,23.99156,53819.19945,0
1123050029233,10.87,0.05,151.93087,23.99161,53819.20549,0
1123050029233,11.12,0.05,151.93085,23.99155,53859.16092,0
1123050029233,11.05,0.05,151.93092,23.99150,53859.16737,0
1123050029233,11.03,0.05,151.93098,23.99161,53859.17375,0
1123050029233,11.04,0.05,151.93088,23.99154,53859.18015,0
1123050029233,10.65,0.05,151.93089,23.99140,53880.22758,0
1123050029233,11.03,0.05,151.93088,23.99154,54036.48577,0
1123050029233,11.01,0.05,151.93085,23.99166,54036.49065,0
1123050029233,11.05,0.05,151.93085,23.99162,54036.49554,0
1123050029233,11.03,0.05,151.93086,23.99157,54036.50045,0
1123050029233,11.09,0.05,151.93093,23.99154,54201.20440,0
1123050029233,11.15,0.05,151.93097,23.99159,54201.21420,0
1123050029233,11.06,0.05,151.93097,23.99160,54201.22399,0
1123050029233,11.04,0.05,151.93089,23.99156,54201.23380,0
1123050029233,10.97,0.05,151.93088,23.99157,54440.39326,0
1123050029233,10.96,0.05,151.93086,23.99154,54440.40633,0
1123050029233,10.98,0.05,151.93085,23.99162,54440.41287,0
1123050029233,10.98,0.05,151.93085,23.99156,54117.35433,0
1123050029233,10.63,0.05,151.93083,23.99167,54127.22717,0
1123050029233,10.69,0.05,151.93083,23.99160,54127.23546,0
1123050029233,10.75,0.05,151.93080,23.99150,54127.24376,0
1123050029233,10.97,0.05,151.93086,23.99164,54171.21409,0
1123050029233,10.96,0.05,151.93088,23.99164,54171.21742,0
1123050029233,10.95,0.05,151.93087,23.99147,54171.22077,0
1123050029233,10.98,0.05,151.93087,23.99162,54171.22408,0
1123050029233,10.89,0.05,151.93080,23.99153,54185.17675,0
1123050029233,10.93,0.05,151.93080,23.99160,54185.18596,0
1123050029233,10.96,0.05,151.93083,23.99152,54185.19519,0
1123050029233,11.03,0.05,151.93083,23.99165,54382.50984,0
1123050029233,11.05,0.05,151.93084,23.99148,54382.51309,0
1123050029233,11.21,0.05,151.93080,23.99149,54382.51633,0
1123050029233,11.64,0.05,151.93081,23.99132,54382.51959,0
1123050029233,10.98,0.05,151.93086,23.99156,54557.14884,0
1123050029233,11.00,0.05,151.93089,23.99148,54557.15807,0
1123050029233,10.96,0.05,151.93089,23.99155,54557.16729,0
1123050029233,11.00,0.05,151.93087,23.99158,54557.17653,0
1123050029233,11.07,0.05,151.93091,23.99133,54574.23756,0
1123050029233,11.07,0.05,151.93091,23.99151,54574.24295,0
1123050029233,11.10,0.05,151.93093,23.99141,54574.24833,0
1123050029233,11.12,0.05,151.93095,23.99137,54574.25372,0
1123050029233,11.03,0.05,151.93086,23.99158,54831.36520,0
1123050029233,11.04,0.05,151.93086,23.99150,54831.37299,0
1123050029233,11.04,0.05,151.93086,23.99151,54831.38086,0
1123050029233,11.08,0.05,151.93085,23.99157,54831.38872,0
1123050029233,10.99,0.05,151.93087,23.99162,54528.16708,0
1123050029233,10.95,0.05,151.93083,23.99155,54528.17366,0
1123050029233,10.99,0.05,151.93088,23.99159,54528.18020,0
1123050029233,10.98,0.05,151.93084,23.99152,54528.18671,0
1123050029233,14.22,0.05,151.92901,23.99002,54548.26784,0
1123050029233,11.03,0.05,151.93090,23.99161,55182.33077,0
1123050029233,10.97,0.05,151.93085,23.99158,55182.33671,0
1123050029233,11.01,0.05,151.93087,23.99158,55182.34265,0
1123050029233,11.02,0.05,151.93087,23.99154,55182.34857,0
1123050029233,10.95,0.05,151.93092,23.99153,54917.24615,0
1123050029233,10.98,0.05,151.93089,23.99156,54917.25156,0
1123050029233,11.01,0.05,151.93088,23.99163,54975.19105,0
1123050029233,11.06,0.05,151.93096,23.99150,54975.19709,0
1123050029233,11.05,0.05,151.93096,23.99154,54975.20307,0
1123050029233,10.99,0.05,151.93092,23.99150,54975.20905,0
1123050029233,10.98,0.05,151.93092,23.99164,55153.50751,0
1123050029233,10.97,0.05,151.93092,23.99164,55153.51217,0
