JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2453806.41218,11.528,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.41328,11.545,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.41438,11.547,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.41550,11.552,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.41662,11.548,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.41774,11.538,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.41892,11.543,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.42003,11.550,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.42116,11.545,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.42230,11.542,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.42344,11.546,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.42458,11.545,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.42573,11.550,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.42686,11.550,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.42801,11.541,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.42917,11.549,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.43029,11.543,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.43141,11.542,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.43253,11.533,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.43363,11.559,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.43473,11.546,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.43584,11.535,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.43694,11.545,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.43804,11.546,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.43917,11.534,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.44027,11.529,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.44137,11.544,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.44249,11.538,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.44358,11.538,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.44471,11.534,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.44582,11.526,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.44700,11.536,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.44811,11.549,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.44918,11.531,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.45036,11.536,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.45149,11.524,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.45260,11.527,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.45378,11.519,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.45488,11.520,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.45595,11.516,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.45707,11.513,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.45821,11.513,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.45927,11.500,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.46039,11.518,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.46155,11.483,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.46271,11.493,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.46382,11.475,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.46495,11.468,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.46608,11.460,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.46723,11.451,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.46836,11.444,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.46948,11.436,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.47060,11.422,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.47170,11.414,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.47280,11.404,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.47392,11.390,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.47505,11.379,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.47617,11.375,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.47729,11.362,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.47843,11.349,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.47949,11.339,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.48059,11.326,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.48169,11.316,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.48275,11.301,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.48385,11.300,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.48499,11.289,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.48606,11.278,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.48719,11.269,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.48829,11.250,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.48940,11.257,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.49050,11.237,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.49156,11.235,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.49269,11.235,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.49375,11.225,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.49488,11.226,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.49601,11.218,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.49708,11.234,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.49826,11.232,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.49939,11.222,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.50049,11.233,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.50161,11.234,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.50277,11.218,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.50395,11.229,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.50510,11.232,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.50623,11.231,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.50729,11.227,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.50845,11.224,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.50955,11.229,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.51065,11.227,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.51174,11.236,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.51289,11.221,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
