obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,pid,dist,angle
56662.4659272,11.946,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770104001353,113.382255,47.802851000000000,4693,6,56662.471077200000,1733,11.936,21.436000000000000,27.804000000000000,3.2500000000000000,8.722000000000000,0,29491204,1,1,18770104,1.1453340000000000,65.274358000000000
56662.4590672,11.929,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770097001307,113.382250,47.802844000000000,4693,6,56662.464217200000,1733,11.921,21.385000000000000,27.807000000000000,3.4500000000000000,4.899000000000000,0,29491204,1,1,18770097,1.1453340000000000,65.274358000000000
56662.4522072,11.968,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770091001422,113.382251,47.802852000000000,4693,6,56662.457357200000,1733,11.951,21.566000000000000,27.809000000000000,2.9500000000000000,7.423000000000000,0,29491204,1,1,18770091,1.1453340000000000,65.274358000000000
56662.4453272,11.980,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770083001439,113.382250,47.802833000000000,4693,6,56662.450477200000,1733,11.962,21.582000000000000,27.812000000000000,2.9500000000000000,7.043000000000000,0,29491204,1,1,18770083,1.1453340000000000,65.274358000000000
56662.4127572,11.856,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770071001333,113.382230,47.802865000000000,4693,6,56662.417907200000,1733,11.900,21.504000000000000,27.817000000000000,3.2500000000000000,13.842000000000000,0,29491204,1,1,18770071,1.1453340000000000,65.274358000000000
56662.4059072,11.846,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770067001375,113.382251,47.802881000000000,4693,6,56662.411057200000,1733,11.840,21.530000000000000,27.818000000000000,3.2500000000000000,7.805000000000000,0,29491204,1,1,18770067,1.1453340000000000,65.274358000000000
56662.3768972,11.682,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770057001356,113.382260,47.802843000000000,4693,6,56662.382047200000,1733,11.689,21.487000000000000,27.818000000000000,3.3500000000000000,9.090000000000000,0,29491204,1,1,18770057,1.1453340000000000,65.274358000000000
56662.3700472,11.617,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770050001212,113.382250,47.802866000000000,4693,6,56662.375197200000,1733,11.880,21.406000000000000,27.818000000000000,3.2500000000000000,13.740000000000000,0,29491204,1,1,18770050,1.1453340000000000,65.274358000000000
56662.3632072,11.577,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770048001187,113.382282,47.802882000000000,4693,6,56662.368357200000,1733,11.735,21.210000000000000,27.818000000000000,4.0500000000000000,6.986000000000000,0,29491204,1,1,18770048,1.1453340000000000,65.274358000000000
56662.3563672,11.577,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770041001302,113.382255,47.802871000000000,4693,6,56662.361517200000,1733,11.580,21.452000000000000,27.817000000000000,3.4500000000000000,15.347000000000000,0,29491204,1,1,18770041,1.1453340000000000,65.274358000000000
56662.3495272,11.561,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770035001333,113.382249,47.802890000000000,4693,6,56662.354677200000,1733,11.543,21.460000000000000,27.817000000000000,3.4500000000000000,15.622000000000000,0,29491204,1,1,18770035,1.1453340000000000,65.274358000000000
56662.3426872,11.553,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770025001326,113.382254,47.802894000000000,4693,6,56662.347837200000,1733,11.528,21.480000000000000,27.816000000000000,3.3500000000000000,12.417000000000000,0,29491204,1,1,18770025,1.1453340000000000,65.274358000000000
56662.3343772,11.527,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770021001348,113.382269,47.802879000000000,4693,6,56662.339527200000,1733,11.563,21.542000000000000,27.815000000000000,3.0500000000000000,15.333000000000000,0,29491204,1,1,18770021,1.1453340000000000,65.274358000000000
56662.3275372,11.494,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770012001374,113.382248,47.802881000000000,4693,6,56662.332687200000,1733,11.473,21.490000000000000,27.814000000000000,3.2500000000000000,16.018000000000000,0,29491204,1,1,18770012,1.1453340000000000,65.274358000000000
56662.3206972,11.481,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770008001355,113.382252,47.802847000000000,4693,6,56662.325847200000,1733,11.453,21.484000000000000,27.813000000000000,3.2500000000000000,16.116000000000000,0,29491204,1,1,18770008,1.1453340000000000,65.274358000000000
56662.3138672,11.479,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18770004001323,113.382237,47.802890000000000,4693,6,56662.319017200000,1733,11.454,21.447000000000000,27.811000000000000,3.3500000000000000,16.222000000000000,0,29491204,1,1,18770004,1.1453340000000000,65.274358000000000
56662.2987872,11.519,0.053,46931060003049,113.38266,47.802863000000000,1,0,null,151,0,0,null,null,null,null,null,null,null,null,18769994001285,113.382230,47.802868000000000,4693,6,56662.303937200000,1733,11.498,21.404000000000000,27.808000000000000,3.4500000000000000,16.108000000000000,0,29491204,1,1,18769994,1.1453340000000000,65.274358000000000
