MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1129055037278,10.84,0.05,172.45134,30.06882,53527.27530,0
1129055037278,11.88,0.05,172.45053,30.06731,54096.38159,0
1129055037278,11.74,0.05,172.45065,30.06727,54096.38978,0
1129055037278,11.35,0.05,172.45071,30.06708,54096.39802,0
1129055037278,11.95,0.05,172.45073,30.06770,54096.40620,0
1129055037278, 9.43,0.05,172.45225,30.06705,53737.39357,0
1129055037278, 8.53,0.05,172.45222,30.06728,53902.24164,0
1129055037278, 8.61,0.05,172.45216,30.06727,53902.24263,0
1129055037278, 8.58,0.05,172.45217,30.06724,53902.24363,0
1129055037278, 8.52,0.05,172.45214,30.06725,53902.24462,0
1129055037278,11.34,0.05,172.45044,30.06739,54451.46318,0
1129055037278,11.30,0.05,172.45028,30.06718,54451.47808,0
1129055037278,11.50,0.05,172.45005,30.06716,54141.40751,0
1129055037278,11.55,0.05,172.45039,30.06787,54141.41295,0
1129055037278,11.53,0.05,172.45031,30.06723,54141.41840,0
1129055037278,11.49,0.05,172.45048,30.06712,54141.42384,0
1129055037278,11.13,0.05,172.45133,30.06867,54156.25984,0
1129055037278,12.19,0.05,172.45054,30.06747,54156.26856,0
1129055037278,10.94,0.05,172.45112,30.06797,54156.27726,0
1129055037278,12.07,0.05,172.45062,30.06711,54156.28599,0
1129055037278,11.05,0.05,172.45030,30.06724,54115.30701,0
1129055037278,11.39,0.05,172.45047,30.06712,54115.31796,0
1129055037278,11.52,0.05,172.45045,30.06731,54115.32884,0
1129055037278,11.36,0.05,172.45040,30.06734,54115.33967,0
1129055037278,12.26,0.05,172.45040,30.06721,54270.19128,0
1129055037278,12.47,0.05,172.45044,30.06683,54270.19933,0
1129055037278,13.07,0.05,172.44995,30.06726,54270.21550,0
1129055037278,11.54,0.05,172.45039,30.06749,54174.37210,0
1129055037278,11.90,0.05,172.45042,30.06744,54174.38160,0
1129055037278,11.54,0.05,172.45024,30.06722,54174.39107,0
1129055037278,11.54,0.05,172.45037,30.06730,54174.40058,0
1129055037278,12.64,0.05,172.45083,30.06795,54185.24481,0
1129055037278,11.02,0.05,172.45141,30.06943,54185.25352,0
1129055037278,12.01,0.05,172.45056,30.06700,54185.26220,0
1129055037278,11.13,0.05,172.45135,30.06916,54185.27089,0
1129055037278,10.83,0.05,172.45125,30.06862,54235.24248,0
1129055037278,10.88,0.05,172.45120,30.06912,54235.25027,0
1129055037278,11.57,0.05,172.45051,30.06715,54422.45192,0
1129055037278,11.52,0.05,172.45038,30.06741,54422.45903,0
1129055037278,11.19,0.05,172.45040,30.06809,54422.46611,0
1129055037278,11.36,0.05,172.45047,30.06735,54422.47327,0
1129055037278,11.62,0.05,172.45049,30.06778,54392.50585,0
1129055037278,11.88,0.05,172.45050,30.06699,54392.51023,0
1129055037278,11.71,0.05,172.45051,30.06778,54392.51463,0
1129055037278,11.67,0.05,172.45066,30.06715,54392.51897,0
1129055037278,11.12,0.05,172.45133,30.06900,54557.30455,0
1129055037278,12.03,0.05,172.45034,30.06734,54566.16542,0
1129055037278,11.79,0.05,172.45047,30.06749,54566.17421,0
1129055037278,11.93,0.05,172.45051,30.06776,54566.18312,0
1129055037278, 9.99,0.05,172.45133,30.06787,54497.37098,0
1129055037278, 9.93,0.05,172.45154,30.06668,54497.37647,0
1129055037278,11.96,0.05,172.45368,30.06806,54497.37647,1
1129055037278,11.71,0.05,172.45082,30.06728,54504.30639,0
1129055037278,11.00,0.05,172.45132,30.06906,54504.31982,0
1129055037278,11.28,0.05,172.45141,30.06904,54514.22023,0
1129055037278,11.81,0.05,172.45066,30.06737,54514.22577,0
1129055037278,12.55,0.05,172.45035,30.06716,54514.23128,0
1129055037278,10.95,0.05,172.45072,30.06737,54514.23678,0
1129055037278,10.89,0.05,172.45106,30.06830,54525.25253,0
1129055037278,11.04,0.05,172.45132,30.06909,54525.25962,0
1129055037278,11.86,0.05,172.45055,30.06722,54525.26671,0
1129055037278,12.34,0.05,172.45060,30.06765,54525.27377,0
1129055037278,11.94,0.05,172.45039,30.06762,54478.37024,0
1129055037278, 9.23,0.05,172.45220,30.06702,54478.37733,0
1129055037278,11.51,0.05,172.45071,30.06719,54480.31701,0
1129055037278,11.84,0.05,172.45067,30.06733,54480.34191,0
1129055037278,12.10,0.05,172.45187,30.07017,54480.34191,1
1129055037278,11.41,0.05,172.45082,30.06683,54627.18134,0
1129055037278,11.68,0.05,172.45057,30.06737,54532.46401,0
1129055037278,12.07,0.05,172.45050,30.06762,54587.14955,0
1129055037278,12.34,0.05,172.45072,30.06796,54924.21355,0
1129055037278,11.19,0.05,172.45093,30.06774,54924.21840,0
1129055037278,12.54,0.05,172.45028,30.06715,54924.22812,0
1129055037278,11.91,0.05,172.45056,30.06716,54951.34303,0
1129055037278,11.93,0.05,172.45063,30.06739,55184.47749,0
1129055037278,11.51,0.05,172.45053,30.06730,55184.48556,0
1129055037278,11.88,0.05,172.45053,30.06721,55184.49377,0
1129055037278,11.33,0.05,172.45055,30.06721,54866.36567,0
1129055037278,12.11,0.05,172.44992,30.06703,54866.38750,0
