JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456959.4807,12.211,0.018,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4818,12.215,0.039,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4828,12.200,0.027,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4839,12.223,0.016,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4850,12.193,0.034,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4860,12.201,0.027,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4871,12.200,0.034,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4882,12.173,0.016,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4893,12.206,0.032,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4903,12.233,0.018,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4914,12.189,0.051,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4925,12.216,0.020,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4936,12.192,0.049,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4947,12.211,0.019,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4957,12.202,0.022,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4968,12.168,0.042,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5018,12.177,0.012,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5029,12.183,0.033,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5040,12.165,0.023,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5051,12.184,0.024,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5061,12.145,0.034,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5072,12.159,0.065,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5083,12.115,0.048,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5094,12.129,0.057,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5115,12.163,0.062,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5126,12.191,0.046,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5137,12.173,0.073,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5169,12.129,0.101,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3620,12.219,0.069,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3631,12.212,0.045,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3642,12.195,0.038,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3653,12.180,0.037,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3663,12.192,0.043,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3674,12.195,0.036,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3685,12.202,0.039,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3696,12.196,0.050,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3706,12.183,0.042,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3717,12.177,0.038,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3728,12.174,0.042,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3739,12.176,0.047,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3749,12.171,0.040,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3760,12.179,0.035,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3771,12.191,0.036,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3782,12.198,0.052,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3792,12.184,0.055,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3803,12.183,0.045,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3814,12.195,0.044,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3825,12.188,0.035,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3835,12.171,0.048,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3846,12.163,0.045,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3857,12.182,0.040,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3868,12.180,0.037,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3878,12.160,0.038,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3889,12.173,0.035,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3900,12.173,0.033,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3911,12.179,0.039,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3921,12.179,0.043,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3932,12.180,0.037,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3943,12.184,0.042,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3954,12.182,0.040,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3964,12.183,0.039,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
